# Assembly name:  iqSchGreg1.2
# Organism name:  Schistocerca gregaria (desert locust)
# Isolate:  iqSchGreg1
# Sex:  male
# Taxid:          7010
# BioSample:      SAMN23383904
# BioProject:     PRJNA782545
# Submitter:      United States Department of Agriculture
# Date:           2022-06-24
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKZLS01
# Assembly method: HiFiASM v. 0.13-r308
# Expected final version: yes
# Genome coverage: 41x
# Sequencing technology: PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_023897955.2
# RefSeq assembly accession: GCF_023897955.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_023898265.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023898285.2	GCF_023898285.1	Primary Assembly
## GCA_023898335.1	GCF_023898335.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ptg000543l	unplaced-scaffold	na	na	JAKZLS010000222.1	=	NW_026061939.1	Primary Assembly	1060999	na
ptg000544l	unplaced-scaffold	na	na	JAKZLS010000223.1	=	NW_026061940.1	Primary Assembly	1957897	na
ptg000545l	unplaced-scaffold	na	na	JAKZLS010000224.1	=	NW_026061941.1	Primary Assembly	672208	na
ptg000547l	unplaced-scaffold	na	na	JAKZLS010000225.1	=	NW_026061942.1	Primary Assembly	208396	na
ptg000548l	unplaced-scaffold	na	na	JAKZLS010000226.1	=	NW_026061943.1	Primary Assembly	210680	na
ptg000550l	unplaced-scaffold	na	na	JAKZLS010000227.1	=	NW_026061944.1	Primary Assembly	105476	na
ptg000551l	unplaced-scaffold	na	na	JAKZLS010000228.1	=	NW_026061945.1	Primary Assembly	111386	na
ptg000552l	unplaced-scaffold	na	na	JAKZLS010000229.1	=	NW_026061946.1	Primary Assembly	1443352	na
ptg000553l	unplaced-scaffold	na	na	JAKZLS010000230.1	=	NW_026061947.1	Primary Assembly	4194168	na
ptg000555l	unplaced-scaffold	na	na	JAKZLS010000231.1	=	NW_026061948.1	Primary Assembly	449017	na
ptg000556l	unplaced-scaffold	na	na	JAKZLS010000232.1	=	NW_026061949.1	Primary Assembly	1920908	na
ptg000557l	unplaced-scaffold	na	na	JAKZLS010000233.1	=	NW_026061950.1	Primary Assembly	186916	na
ptg000558l	unplaced-scaffold	na	na	JAKZLS010000234.1	=	NW_026061951.1	Primary Assembly	189108	na
ptg000559c	unplaced-scaffold	na	na	JAKZLS010000235.1	=	NW_026061952.1	Primary Assembly	1133765	na
ptg000560l	unplaced-scaffold	na	na	JAKZLS010000236.1	=	NW_026061953.1	Primary Assembly	216778	na
ptg000562l	unplaced-scaffold	na	na	JAKZLS010000237.1	=	NW_026061955.1	Primary Assembly	162475	na
ptg000564l	unplaced-scaffold	na	na	JAKZLS010000239.1	=	NW_026061956.1	Primary Assembly	311356	na
ptg000565l	unplaced-scaffold	na	na	JAKZLS010000240.1	=	NW_026061957.1	Primary Assembly	283281	na
ptg000566l	unplaced-scaffold	na	na	JAKZLS010000241.1	=	NW_026061958.1	Primary Assembly	23566	na
ptg000568l	unplaced-scaffold	na	na	JAKZLS010000242.1	=	NW_026061959.1	Primary Assembly	399055	na
ptg000569l	unplaced-scaffold	na	na	JAKZLS010000243.1	=	NW_026061960.1	Primary Assembly	597154	na
ptg000570l	unplaced-scaffold	na	na	JAKZLS010000244.1	=	NW_026061961.1	Primary Assembly	225378	na
ptg000571l	unplaced-scaffold	na	na	JAKZLS010000245.1	=	NW_026061962.1	Primary Assembly	314729	na
ptg000572l	unplaced-scaffold	na	na	JAKZLS010000246.1	=	NW_026061963.1	Primary Assembly	623920	na
ptg000573l	unplaced-scaffold	na	na	JAKZLS010000247.1	=	NW_026061964.1	Primary Assembly	264507	na
ptg000574l	unplaced-scaffold	na	na	JAKZLS010000248.1	=	NW_026061965.1	Primary Assembly	463654	na
ptg000575l	unplaced-scaffold	na	na	JAKZLS010000249.1	=	NW_026061966.1	Primary Assembly	46356	na
ptg000576l	unplaced-scaffold	na	na	JAKZLS010000250.1	=	NW_026061967.1	Primary Assembly	1041285	na
ptg000577l	unplaced-scaffold	na	na	JAKZLS010000251.1	=	NW_026061968.1	Primary Assembly	2015573	na
ptg000578l	unplaced-scaffold	na	na	JAKZLS010000252.1	=	NW_026061969.1	Primary Assembly	248353	na
ptg000579l	unplaced-scaffold	na	na	JAKZLS010000253.1	=	NW_026061970.1	Primary Assembly	278481	na
ptg000581l	unplaced-scaffold	na	na	JAKZLS010000254.1	=	NW_026061971.1	Primary Assembly	246003	na
ptg000582l	unplaced-scaffold	na	na	JAKZLS010000255.1	=	NW_026061972.1	Primary Assembly	240431	na
ptg000583l	unplaced-scaffold	na	na	JAKZLS010000256.1	=	NW_026061973.1	Primary Assembly	3487872	na
ptg000584l	unplaced-scaffold	na	na	JAKZLS010000257.1	=	NW_026061974.1	Primary Assembly	122239	na
ptg000585l	unplaced-scaffold	na	na	JAKZLS010000258.1	=	NW_026061975.1	Primary Assembly	81329	na
ptg000586l	unplaced-scaffold	na	na	JAKZLS010000259.1	=	NW_026061976.1	Primary Assembly	110628	na
ptg000587l	unplaced-scaffold	na	na	JAKZLS010000260.1	=	NW_026061977.1	Primary Assembly	343511	na
ptg000588l	unplaced-scaffold	na	na	JAKZLS010000261.1	=	NW_026061978.1	Primary Assembly	737453	na
ptg000589l	unplaced-scaffold	na	na	JAKZLS010000262.1	=	NW_026061979.1	Primary Assembly	23933	na
ptg000590l	unplaced-scaffold	na	na	JAKZLS010000263.1	=	NW_026061980.1	Primary Assembly	81823	na
ptg000591l	unplaced-scaffold	na	na	JAKZLS010000264.1	=	NW_026061981.1	Primary Assembly	635624	na
ptg000592l	unplaced-scaffold	na	na	JAKZLS010000265.1	=	NW_026061982.1	Primary Assembly	1644393	na
ptg000594l	unplaced-scaffold	na	na	JAKZLS010000266.1	=	NW_026061983.1	Primary Assembly	315024	na
ptg000595l	unplaced-scaffold	na	na	JAKZLS010000267.1	=	NW_026061984.1	Primary Assembly	427079	na
ptg000596l	unplaced-scaffold	na	na	JAKZLS010000268.1	=	NW_026061985.1	Primary Assembly	114926	na
ptg000597l	unplaced-scaffold	na	na	JAKZLS010000269.1	=	NW_026061986.1	Primary Assembly	504657	na
ptg000598l	unplaced-scaffold	na	na	JAKZLS010000270.1	=	NW_026061987.1	Primary Assembly	58341	na
ptg000599l	unplaced-scaffold	na	na	JAKZLS010000271.1	=	NW_026061988.1	Primary Assembly	376478	na
ptg000600l	unplaced-scaffold	na	na	JAKZLS010000272.1	=	NW_026061989.1	Primary Assembly	538298	na
ptg000601l	unplaced-scaffold	na	na	JAKZLS010000273.1	=	NW_026061990.1	Primary Assembly	33953	na
ptg000602l	unplaced-scaffold	na	na	JAKZLS010000274.1	=	NW_026061991.1	Primary Assembly	1362669	na
ptg000603l	unplaced-scaffold	na	na	JAKZLS010000275.1	=	NW_026061992.1	Primary Assembly	23035	na
ptg000604l	unplaced-scaffold	na	na	JAKZLS010000276.1	=	NW_026061993.1	Primary Assembly	643032	na
ptg000605l	unplaced-scaffold	na	na	JAKZLS010000277.1	=	NW_026061994.1	Primary Assembly	145959	na
ptg000606l	unplaced-scaffold	na	na	JAKZLS010000278.1	=	NW_026061995.1	Primary Assembly	57917	na
ptg000607l	unplaced-scaffold	na	na	JAKZLS010000279.1	=	NW_026061996.1	Primary Assembly	915911	na
ptg000608l	unplaced-scaffold	na	na	JAKZLS010000280.1	=	NW_026061997.1	Primary Assembly	175054	na
ptg000609l	unplaced-scaffold	na	na	JAKZLS010000281.1	=	NW_026061998.1	Primary Assembly	161716	na
ptg000610l	unplaced-scaffold	na	na	JAKZLS010000282.1	=	NW_026061999.1	Primary Assembly	544516	na
ptg000611l	unplaced-scaffold	na	na	JAKZLS010000283.1	=	NW_026062000.1	Primary Assembly	51197	na
ptg000612l	unplaced-scaffold	na	na	JAKZLS010000284.1	=	NW_026062001.1	Primary Assembly	299225	na
ptg000614l	unplaced-scaffold	na	na	JAKZLS010000285.1	=	NW_026062002.1	Primary Assembly	1664036	na
ptg000615l	unplaced-scaffold	na	na	JAKZLS010000286.1	=	NW_026062003.1	Primary Assembly	342834	na
ptg000616l	unplaced-scaffold	na	na	JAKZLS010000287.1	=	NW_026062004.1	Primary Assembly	159622	na
ptg000617l	unplaced-scaffold	na	na	JAKZLS010000288.1	=	NW_026062005.1	Primary Assembly	25452	na
ptg000618l	unplaced-scaffold	na	na	JAKZLS010000289.1	=	NW_026062006.1	Primary Assembly	2577606	na
ptg000619l	unplaced-scaffold	na	na	JAKZLS010000290.1	=	NW_026062007.1	Primary Assembly	26644	na
ptg000620l	unplaced-scaffold	na	na	JAKZLS010000291.1	=	NW_026062008.1	Primary Assembly	277519	na
ptg000621l	unplaced-scaffold	na	na	JAKZLS010000292.1	=	NW_026062009.1	Primary Assembly	188512	na
ptg000622l	unplaced-scaffold	na	na	JAKZLS010000293.1	=	NW_026062010.1	Primary Assembly	48840	na
ptg000623l	unplaced-scaffold	na	na	JAKZLS010000294.1	=	NW_026062011.1	Primary Assembly	903019	na
ptg000624l	unplaced-scaffold	na	na	JAKZLS010000295.1	=	NW_026062012.1	Primary Assembly	107513	na
ptg000626l	unplaced-scaffold	na	na	JAKZLS010000297.1	=	NW_026062013.1	Primary Assembly	227106	na
ptg000627l	unplaced-scaffold	na	na	JAKZLS010000298.1	=	NW_026062014.1	Primary Assembly	1041955	na
ptg000628l	unplaced-scaffold	na	na	JAKZLS010000299.1	=	NW_026062015.1	Primary Assembly	67183	na
ptg000629l	unplaced-scaffold	na	na	JAKZLS010000300.1	=	NW_026062016.1	Primary Assembly	545688	na
ptg000631l	unplaced-scaffold	na	na	JAKZLS010000301.1	=	NW_026062017.1	Primary Assembly	1155787	na
ptg000632l	unplaced-scaffold	na	na	JAKZLS010000302.1	=	NW_026062018.1	Primary Assembly	242317	na
ptg000633l	unplaced-scaffold	na	na	JAKZLS010000303.1	=	NW_026062019.1	Primary Assembly	40940	na
ptg000634l	unplaced-scaffold	na	na	JAKZLS010000304.1	=	NW_026062020.1	Primary Assembly	945874	na
ptg000635l	unplaced-scaffold	na	na	JAKZLS010000305.1	=	NW_026062021.1	Primary Assembly	1335466	na
ptg000636l	unplaced-scaffold	na	na	JAKZLS010000306.1	=	NW_026062022.1	Primary Assembly	242636	na
ptg000637l	unplaced-scaffold	na	na	JAKZLS010000307.1	=	NW_026062023.1	Primary Assembly	718972	na
ptg000638l	unplaced-scaffold	na	na	JAKZLS010000308.1	=	NW_026062024.1	Primary Assembly	128194	na
ptg000639l	unplaced-scaffold	na	na	JAKZLS010000309.1	=	NW_026062025.1	Primary Assembly	45643	na
ptg000640l	unplaced-scaffold	na	na	JAKZLS010000310.1	=	NW_026062026.1	Primary Assembly	444174	na
ptg000641l	unplaced-scaffold	na	na	JAKZLS010000311.1	=	NW_026062027.1	Primary Assembly	496257	na
ptg000642l	unplaced-scaffold	na	na	JAKZLS010000312.1	=	NW_026062028.1	Primary Assembly	99759	na
ptg000643l	unplaced-scaffold	na	na	JAKZLS010000313.1	=	NW_026062029.1	Primary Assembly	143038	na
ptg000644l	unplaced-scaffold	na	na	JAKZLS010000314.1	=	NW_026062030.1	Primary Assembly	77566	na
ptg000646l	unplaced-scaffold	na	na	JAKZLS010000316.1	=	NW_026062031.1	Primary Assembly	779282	na
ptg000647l	unplaced-scaffold	na	na	JAKZLS010000317.1	=	NW_026062032.1	Primary Assembly	52881	na
ptg000648l	unplaced-scaffold	na	na	JAKZLS010000318.1	=	NW_026062033.1	Primary Assembly	319651	na
ptg000649l	unplaced-scaffold	na	na	JAKZLS010000319.1	=	NW_026062034.1	Primary Assembly	752444	na
ptg000650l	unplaced-scaffold	na	na	JAKZLS010000320.1	=	NW_026062035.1	Primary Assembly	150992	na
ptg000652l	unplaced-scaffold	na	na	JAKZLS010000321.1	=	NW_026062036.1	Primary Assembly	153208	na
ptg000653l	unplaced-scaffold	na	na	JAKZLS010000322.1	=	NW_026062037.1	Primary Assembly	635161	na
ptg000654l	unplaced-scaffold	na	na	JAKZLS010000323.1	=	NW_026062038.1	Primary Assembly	69058	na
ptg000655l	unplaced-scaffold	na	na	JAKZLS010000324.1	=	NW_026062039.1	Primary Assembly	114755	na
ptg000656l	unplaced-scaffold	na	na	JAKZLS010000325.1	=	NW_026062040.1	Primary Assembly	41743	na
ptg000657l	unplaced-scaffold	na	na	JAKZLS010000326.1	=	NW_026062041.1	Primary Assembly	97887	na
ptg000658l	unplaced-scaffold	na	na	JAKZLS010000327.1	=	NW_026062042.1	Primary Assembly	343513	na
ptg000659l	unplaced-scaffold	na	na	JAKZLS010000328.1	=	NW_026062043.1	Primary Assembly	187750	na
ptg000660l	unplaced-scaffold	na	na	JAKZLS010000329.1	=	NW_026062044.1	Primary Assembly	33188	na
ptg000662l	unplaced-scaffold	na	na	JAKZLS010000330.1	=	NW_026062045.1	Primary Assembly	617506	na
ptg000663l	unplaced-scaffold	na	na	JAKZLS010000331.1	=	NW_026062046.1	Primary Assembly	41395	na
ptg000664l	unplaced-scaffold	na	na	JAKZLS010000332.1	=	NW_026062047.1	Primary Assembly	182542	na
ptg000665l	unplaced-scaffold	na	na	JAKZLS010000333.1	=	NW_026062048.1	Primary Assembly	353118	na
ptg000666l	unplaced-scaffold	na	na	JAKZLS010000334.1	=	NW_026062049.1	Primary Assembly	108861	na
ptg000667l	unplaced-scaffold	na	na	JAKZLS010000335.1	=	NW_026062050.1	Primary Assembly	180230	na
ptg000668l	unplaced-scaffold	na	na	JAKZLS010000336.1	=	NW_026062051.1	Primary Assembly	147068	na
ptg000669l	unplaced-scaffold	na	na	JAKZLS010000337.1	=	NW_026062052.1	Primary Assembly	22797	na
ptg000670l	unplaced-scaffold	na	na	JAKZLS010000338.1	=	NW_026062053.1	Primary Assembly	254213	na
ptg000671l	unplaced-scaffold	na	na	JAKZLS010000339.1	=	NW_026062054.1	Primary Assembly	1507343	na
ptg000672l	unplaced-scaffold	na	na	JAKZLS010000340.1	=	NW_026062055.1	Primary Assembly	176572	na
ptg000673l	unplaced-scaffold	na	na	JAKZLS010000341.1	=	NW_026062056.1	Primary Assembly	187012	na
ptg000674l	unplaced-scaffold	na	na	JAKZLS010000342.1	=	NW_026062057.1	Primary Assembly	27698	na
ptg000675l	unplaced-scaffold	na	na	JAKZLS010000343.1	=	NW_026062058.1	Primary Assembly	2371458	na
ptg000676l	unplaced-scaffold	na	na	JAKZLS010000344.1	=	NW_026062059.1	Primary Assembly	117526	na
ptg000677l	unplaced-scaffold	na	na	JAKZLS010000345.1	=	NW_026062060.1	Primary Assembly	370572	na
ptg000680l	unplaced-scaffold	na	na	JAKZLS010000346.1	=	NW_026062061.1	Primary Assembly	109961	na
ptg000681l	unplaced-scaffold	na	na	JAKZLS010000347.1	=	NW_026062062.1	Primary Assembly	94789	na
ptg000683l	unplaced-scaffold	na	na	JAKZLS010000348.1	=	NW_026062063.1	Primary Assembly	130578	na
ptg000684l	unplaced-scaffold	na	na	JAKZLS010000349.1	=	NW_026062064.1	Primary Assembly	279714	na
ptg000685l	unplaced-scaffold	na	na	JAKZLS010000350.1	=	NW_026062065.1	Primary Assembly	101816	na
ptg000686l	unplaced-scaffold	na	na	JAKZLS010000351.1	=	NW_026062066.1	Primary Assembly	200638	na
ptg000687l	unplaced-scaffold	na	na	JAKZLS010000352.1	=	NW_026062067.1	Primary Assembly	111165	na
ptg000688l	unplaced-scaffold	na	na	JAKZLS010000353.1	=	NW_026062068.1	Primary Assembly	23451	na
ptg000689l	unplaced-scaffold	na	na	JAKZLS010000354.1	=	NW_026062069.1	Primary Assembly	73016	na
ptg000690l	unplaced-scaffold	na	na	JAKZLS010000355.1	=	NW_026062070.1	Primary Assembly	124938	na
ptg000691l	unplaced-scaffold	na	na	JAKZLS010000356.1	=	NW_026062071.1	Primary Assembly	621335	na
ptg000692l	unplaced-scaffold	na	na	JAKZLS010000357.1	=	NW_026062072.1	Primary Assembly	857087	na
ptg000693l	unplaced-scaffold	na	na	JAKZLS010000358.1	=	NW_026062073.1	Primary Assembly	201332	na
ptg000695l	unplaced-scaffold	na	na	JAKZLS010000359.1	=	NW_026062074.1	Primary Assembly	107791	na
ptg000696l	unplaced-scaffold	na	na	JAKZLS010000360.1	=	NW_026062075.1	Primary Assembly	757261	na
ptg000697l	unplaced-scaffold	na	na	JAKZLS010000361.1	=	NW_026062076.1	Primary Assembly	130851	na
ptg000698l	unplaced-scaffold	na	na	JAKZLS010000362.1	=	NW_026062077.1	Primary Assembly	1308915	na
ptg000699l	unplaced-scaffold	na	na	JAKZLS010000363.1	=	NW_026062078.1	Primary Assembly	150486	na
ptg000700l	unplaced-scaffold	na	na	JAKZLS010000364.1	=	NW_026062079.1	Primary Assembly	31889	na
ptg000701l	unplaced-scaffold	na	na	JAKZLS010000365.1	=	NW_026062080.1	Primary Assembly	82901	na
ptg000703l	unplaced-scaffold	na	na	JAKZLS010000367.1	=	NW_026062081.1	Primary Assembly	344620	na
ptg000704l	unplaced-scaffold	na	na	JAKZLS010000368.1	=	NW_026062082.1	Primary Assembly	82190	na
ptg000705l	unplaced-scaffold	na	na	JAKZLS010000369.1	=	NW_026062083.1	Primary Assembly	359540	na
ptg000706l	unplaced-scaffold	na	na	JAKZLS010000370.1	=	NW_026062084.1	Primary Assembly	101037	na
ptg000707l	unplaced-scaffold	na	na	JAKZLS010000371.1	=	NW_026062085.1	Primary Assembly	352385	na
ptg000708l	unplaced-scaffold	na	na	JAKZLS010000372.1	=	NW_026062086.1	Primary Assembly	614639	na
ptg000709l	unplaced-scaffold	na	na	JAKZLS010000373.1	=	NW_026062087.1	Primary Assembly	57705	na
ptg000710l	unplaced-scaffold	na	na	JAKZLS010000374.1	=	NW_026062088.1	Primary Assembly	89836	na
ptg000711l	unplaced-scaffold	na	na	JAKZLS010000375.1	=	NW_026062089.1	Primary Assembly	1004627	na
ptg000712l	unplaced-scaffold	na	na	JAKZLS010000376.1	=	NW_026062090.1	Primary Assembly	46394	na
ptg000713l	unplaced-scaffold	na	na	JAKZLS010000377.1	=	NW_026062091.1	Primary Assembly	62483	na
ptg000714l	unplaced-scaffold	na	na	JAKZLS010000378.1	=	NW_026062092.1	Primary Assembly	76244	na
ptg000715l	unplaced-scaffold	na	na	JAKZLS010000379.1	=	NW_026062093.1	Primary Assembly	570028	na
ptg000716l	unplaced-scaffold	na	na	JAKZLS010000380.1	=	NW_026062094.1	Primary Assembly	84846	na
ptg000718l	unplaced-scaffold	na	na	JAKZLS010000382.1	=	NW_026062095.1	Primary Assembly	172614	na
ptg000719l	unplaced-scaffold	na	na	JAKZLS010000383.1	=	NW_026062096.1	Primary Assembly	586561	na
ptg000720l	unplaced-scaffold	na	na	JAKZLS010000384.1	=	NW_026062097.1	Primary Assembly	426281	na
ptg000721l	unplaced-scaffold	na	na	JAKZLS010000385.1	=	NW_026062098.1	Primary Assembly	1109296	na
ptg000722l	unplaced-scaffold	na	na	JAKZLS010000386.1	=	NW_026062099.1	Primary Assembly	286074	na
ptg000723l	unplaced-scaffold	na	na	JAKZLS010000387.1	=	NW_026062100.1	Primary Assembly	839861	na
ptg000724l	unplaced-scaffold	na	na	JAKZLS010000388.1	=	NW_026062101.1	Primary Assembly	223770	na
ptg000725l	unplaced-scaffold	na	na	JAKZLS010000389.1	=	NW_026062102.1	Primary Assembly	176860	na
ptg000726l	unplaced-scaffold	na	na	JAKZLS010000390.1	=	NW_026062103.1	Primary Assembly	2826407	na
ptg000727l	unplaced-scaffold	na	na	JAKZLS010000391.1	=	NW_026062104.1	Primary Assembly	449851	na
ptg000728l	unplaced-scaffold	na	na	JAKZLS010000392.1	=	NW_026062105.1	Primary Assembly	222873	na
ptg000729l	unplaced-scaffold	na	na	JAKZLS010000393.1	=	NW_026062106.1	Primary Assembly	57415	na
ptg000730l	unplaced-scaffold	na	na	JAKZLS010000394.1	=	NW_026062107.1	Primary Assembly	733589	na
ptg000731l	unplaced-scaffold	na	na	JAKZLS010000395.1	=	NW_026062108.1	Primary Assembly	31061	na
ptg000732l	unplaced-scaffold	na	na	JAKZLS010000396.1	=	NW_026062109.1	Primary Assembly	28732	na
ptg000733l	unplaced-scaffold	na	na	JAKZLS010000397.1	=	NW_026062110.1	Primary Assembly	56861	na
ptg000734l	unplaced-scaffold	na	na	JAKZLS010000398.1	=	NW_026062111.1	Primary Assembly	109201	na
ptg000735c	unplaced-scaffold	na	na	JAKZLS010000399.1	=	NW_026062112.1	Primary Assembly	894780	na
ptg000737l	unplaced-scaffold	na	na	JAKZLS010000401.1	=	NW_026062113.1	Primary Assembly	304031	na
ptg000738l	unplaced-scaffold	na	na	JAKZLS010000402.1	=	NW_026062114.1	Primary Assembly	466705	na
ptg000739l	unplaced-scaffold	na	na	JAKZLS010000403.1	=	NW_026062115.1	Primary Assembly	54690	na
ptg000740l	unplaced-scaffold	na	na	JAKZLS010000404.1	=	NW_026062116.1	Primary Assembly	283911	na
ptg000741l	unplaced-scaffold	na	na	JAKZLS010000405.1	=	NW_026062117.1	Primary Assembly	240147	na
ptg000742l	unplaced-scaffold	na	na	JAKZLS010000406.1	=	NW_026062118.1	Primary Assembly	284471	na
ptg000743l	unplaced-scaffold	na	na	JAKZLS010000407.1	=	NW_026062119.1	Primary Assembly	240107	na
ptg000744l	unplaced-scaffold	na	na	JAKZLS010000408.1	=	NW_026062120.1	Primary Assembly	51614	na
ptg000745l	unplaced-scaffold	na	na	JAKZLS010000409.1	=	NW_026062121.1	Primary Assembly	106988	na
ptg000746l	unplaced-scaffold	na	na	JAKZLS010000410.1	=	NW_026062122.1	Primary Assembly	115980	na
ptg000747l	unplaced-scaffold	na	na	JAKZLS010000411.1	=	NW_026062123.1	Primary Assembly	293003	na
ptg000748l	unplaced-scaffold	na	na	JAKZLS010000412.1	=	NW_026062124.1	Primary Assembly	128295	na
ptg000749l	unplaced-scaffold	na	na	JAKZLS010000413.1	=	NW_026062125.1	Primary Assembly	132418	na
ptg000751l	unplaced-scaffold	na	na	JAKZLS010000414.1	=	NW_026062126.1	Primary Assembly	32239	na
ptg000756l	unplaced-scaffold	na	na	JAKZLS010000415.1	=	NW_026062127.1	Primary Assembly	54306	na
ptg000757l	unplaced-scaffold	na	na	JAKZLS010000416.1	=	NW_026062128.1	Primary Assembly	22098	na
ptg000758l	unplaced-scaffold	na	na	JAKZLS010000417.1	=	NW_026062129.1	Primary Assembly	132739	na
ptg000759l	unplaced-scaffold	na	na	JAKZLS010000418.1	=	NW_026062130.1	Primary Assembly	49993	na
ptg000760l	unplaced-scaffold	na	na	JAKZLS010000419.1	=	NW_026062131.1	Primary Assembly	23390	na
ptg000761l	unplaced-scaffold	na	na	JAKZLS010000420.1	=	NW_026062132.1	Primary Assembly	34499	na
ptg000762l	unplaced-scaffold	na	na	JAKZLS010000421.1	=	NW_026062133.1	Primary Assembly	160361	na
ptg000763l	unplaced-scaffold	na	na	JAKZLS010000422.1	=	NW_026062134.1	Primary Assembly	83967	na
ptg000764l	unplaced-scaffold	na	na	JAKZLS010000423.1	=	NW_026062135.1	Primary Assembly	76105	na
ptg000765l	unplaced-scaffold	na	na	JAKZLS010000424.1	=	NW_026062136.1	Primary Assembly	28591	na
ptg000766l	unplaced-scaffold	na	na	JAKZLS010000425.1	=	NW_026062137.1	Primary Assembly	41484	na
ptg000767l	unplaced-scaffold	na	na	JAKZLS010000426.1	=	NW_026062138.1	Primary Assembly	33774	na
ptg000769l	unplaced-scaffold	na	na	JAKZLS010000427.1	=	NW_026062139.1	Primary Assembly	326549	na
ptg000770l	unplaced-scaffold	na	na	JAKZLS010000428.1	=	NW_026062140.1	Primary Assembly	54349	na
ptg000771l	unplaced-scaffold	na	na	JAKZLS010000429.1	=	NW_026062141.1	Primary Assembly	179764	na
ptg000772l	unplaced-scaffold	na	na	JAKZLS010000430.1	=	NW_026062142.1	Primary Assembly	160609	na
ptg000773l	unplaced-scaffold	na	na	JAKZLS010000431.1	=	NW_026062143.1	Primary Assembly	308752	na
ptg000774l	unplaced-scaffold	na	na	JAKZLS010000432.1	=	NW_026062144.1	Primary Assembly	116268	na
ptg000775l	unplaced-scaffold	na	na	JAKZLS010000433.1	=	NW_026062145.1	Primary Assembly	310476	na
ptg000776l	unplaced-scaffold	na	na	JAKZLS010000434.1	=	NW_026062146.1	Primary Assembly	74891	na
ptg000777l	unplaced-scaffold	na	na	JAKZLS010000435.1	=	NW_026062147.1	Primary Assembly	24887	na
ptg000778l	unplaced-scaffold	na	na	JAKZLS010000436.1	=	NW_026062148.1	Primary Assembly	148590	na
ptg000779l	unplaced-scaffold	na	na	JAKZLS010000437.1	=	NW_026062149.1	Primary Assembly	36654	na
ptg000780l	unplaced-scaffold	na	na	JAKZLS010000438.1	=	NW_026062150.1	Primary Assembly	59502	na
ptg000781l	unplaced-scaffold	na	na	JAKZLS010000439.1	=	NW_026062151.1	Primary Assembly	100716	na
ptg000782l	unplaced-scaffold	na	na	JAKZLS010000440.1	=	NW_026062152.1	Primary Assembly	31016	na
ptg000784l	unplaced-scaffold	na	na	JAKZLS010000441.1	=	NW_026062153.1	Primary Assembly	451772	na
ptg000786l	unplaced-scaffold	na	na	JAKZLS010000443.1	=	NW_026062154.1	Primary Assembly	57007	na
ptg000787l	unplaced-scaffold	na	na	JAKZLS010000444.1	=	NW_026062155.1	Primary Assembly	72577	na
ptg000788l	unplaced-scaffold	na	na	JAKZLS010000445.1	=	NW_026062156.1	Primary Assembly	41540	na
ptg000789l	unplaced-scaffold	na	na	JAKZLS010000446.1	=	NW_026062157.1	Primary Assembly	566176	na
ptg000790l	unplaced-scaffold	na	na	JAKZLS010000447.1	=	NW_026062158.1	Primary Assembly	26109	na
ptg000791l	unplaced-scaffold	na	na	JAKZLS010000448.1	=	NW_026062159.1	Primary Assembly	167955	na
ptg000792l	unplaced-scaffold	na	na	JAKZLS010000449.1	=	NW_026062160.1	Primary Assembly	33726	na
ptg000793l	unplaced-scaffold	na	na	JAKZLS010000450.1	=	NW_026062161.1	Primary Assembly	41630	na
ptg000794l	unplaced-scaffold	na	na	JAKZLS010000451.1	=	NW_026062162.1	Primary Assembly	27974	na
ptg000795l	unplaced-scaffold	na	na	JAKZLS010000452.1	=	NW_026062163.1	Primary Assembly	39339	na
ptg000796l	unplaced-scaffold	na	na	JAKZLS010000453.1	=	NW_026062164.1	Primary Assembly	92148	na
ptg000797l	unplaced-scaffold	na	na	JAKZLS010000454.1	=	NW_026062165.1	Primary Assembly	271758	na
ptg000798l	unplaced-scaffold	na	na	JAKZLS010000455.1	=	NW_026062166.1	Primary Assembly	43792	na
ptg000799l	unplaced-scaffold	na	na	JAKZLS010000456.1	=	NW_026062167.1	Primary Assembly	42344	na
ptg000800l	unplaced-scaffold	na	na	JAKZLS010000457.1	=	NW_026062168.1	Primary Assembly	702454	na
ptg000801l	unplaced-scaffold	na	na	JAKZLS010000458.1	=	NW_026062169.1	Primary Assembly	35954	na
ptg000802l	unplaced-scaffold	na	na	JAKZLS010000459.1	=	NW_026062170.1	Primary Assembly	75181	na
ptg000803l	unplaced-scaffold	na	na	JAKZLS010000460.1	=	NW_026062171.1	Primary Assembly	36907	na
ptg000804l	unplaced-scaffold	na	na	JAKZLS010000461.1	=	NW_026062172.1	Primary Assembly	135415	na
