scaffold	source_run	source_model	assembly_sequence_role	assembly_unit	length_bp	gc_percent	n_percent	annotated_genes	candidate_deg_genes	annotated_genes_per_mb	candidate_deg_genes_per_mb	n_deg_contrasts	deg_contrasts	kraken_status	kraken_taxid	kraken_taxon_name	kraken_broad_group	kraken_lineage	cross_species_best_species	cross_species_max_coverage_percent	cross_species_weighted_identity_percent	cross_species_best_target_sequence	cross_species_strong_support_count	cross_species_strong_support_species	cross_species_partial_support_count	cross_species_partial_support_species	ncbi_fcs_run_date	ncbi_fcs_db_build_date	ncbi_fcs_asserted_division	ncbi_fcs_flagged	fcs_action	fcs_contam_type	fcs_coverage	fcs_contam_details	preliminary_evidence_status	recommended_next_test	automatic_filter_decision	assembly_bioproject	assembly_biosample	assembly_length_bp	n_unique_deg_genes
NW_026062140.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	54349	22.088722883585714	0.0	15	1	275.99403852876776	18.39960256858452	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	54349	1
NW_026062171.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	36907	24.686373858617607	0.0	5	1	135.47565502479205	27.095131004958407	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	36907	1
NW_026062176.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	242820	45.28292562391895	0.0	53	18	218.26867638580018	74.12898443291327	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	242820	18
NW_026062185.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	366495	41.367276497632986	0.0	103	31	281.0406690405053	84.58505573063752	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	366495	31
NW_026062196.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	207904	45.85145066953979	0.0	52	14	250.1154378944128	67.33877174080345	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	207904	14
NW_026062217.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	108767	50.302941149429515	0.0	42	22	386.1465334154661	202.26723178905365	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	108767	22
NW_026062229.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	248508	46.030308883416225	0.0	72	24	289.72910328842534	96.57636776280845	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	248508	24
NW_026062236.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	256518	34.58626685066935	0.0	54	26	210.51154304961054	101.35740961647915	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.16490070872219492	96.11	NC_060119.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	256518	26
NW_026062244.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	120664	50.86438374328714	0.0	51	12	422.6612742823046	99.44971159583638	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	120664	12
NW_026062249.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	241426	46.114337312468415	0.0	76	19	314.7962522677756	78.6990630669439	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	241426	19
NW_026062253.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	74958	35.546572747405214	0.0	14	9	186.7712585714667	120.06723765308573	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	74958	9
NW_026062282.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	292790	45.6183612828307	0.0	75	25	256.1562894907613	85.38542983025377	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	292790	25
NW_026062299.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	262043	40.66202875100652	0.0	81	24	309.10957361959674	91.58802181321386	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	262043	24
NW_026062302.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	191019	46.5424905375905	0.0	51	16	266.9891476764092	83.76130123181464	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	191019	16
NW_026062315.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	206002	47.54662576091494	0.0	55	16	266.98769914855194	77.66914884321511	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.05339753982971039	95.28999999999999	NC_060124.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	206002	16
NW_026062325.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	42430	53.21706339853877	0.0	15	6	353.5234503888758	141.4093801555503	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	42430	6
NW_026062331.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	134788	43.2145294833368	0.0	36	9	267.0860907499184	66.7715226874796	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	134788	9
NW_026062332.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	46418	34.97565599551898	0.0	16	2	344.69386875780947	43.086733594726184	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	46418	2
NW_026062344.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	391542	47.00926082003974	0.0	100	40	255.40044235356615	102.16017694142646	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	391542	40
NW_026062374.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	156446	41.22764404331207	0.0	32	8	204.5434207330325	51.13585518325812	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	156446	8
NW_026062425.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	82666	51.04879878063533	0.0	26	12	314.5186654731086	145.16246098758862	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	82666	12
NW_026062445.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	57899	42.60177205133076	0.0	19	5	328.15765384548956	86.35727732776041	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NW_025726230.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	57899	5
NW_026062453.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	120714	25.935682688006363	0.0	11	2	91.1244760342628	16.568086551684146	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	120714	2
NW_026062491.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	78405	47.54033543779096	0.0	30	8	382.62865888655057	102.03430903641349	2	infected_diet33_vs50;infection_average_all_diets	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	78405	8
NW_026062521.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	45343	51.03103014798315	0.0	17	7	374.9200538120548	154.37884568731667	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	45343	7
NW_026062549.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	81318	50.26931306721759	0.0	26	8	319.73240856882853	98.37920263656262	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	81318	8
NW_026062553.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	133558	45.47387651806706	0.0	31	13	232.10889650938168	97.33598885877296	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	133558	13
NW_026062566.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	85828	47.86433331779839	0.0	27	5	314.58265367945194	58.256046977676284	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	85828	5
NW_026062667.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	51953	46.93665428367948	0.0	19	6	365.7151656304737	115.48899967278118	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	51953	6
NW_026062676.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	41897	51.24233238656706	0.0	16	5	381.88891806095904	119.3402868940497	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	5.248585817600305	87.94	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	41897	5
NW_026062747.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	57233	49.251306064682964	0.0	16	5	279.558995684308	87.36218615134625	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	57233	5
NW_026062750.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	50201	56.15824385968407	0.0	11	4	219.11914105296705	79.67968765562439	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	50201	4
NW_026062795.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	43210	47.78986345753298	0.0	13	6	300.8562832677621	138.8567461235825	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	43210	6
NW_026062803.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	61147	52.71558702798175	0.0	17	7	278.0185454723862	114.47822460627668	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	61147	7
NW_026062990.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	11589	55.63896798688411	0.0	5	3	431.44361032013114	258.8661661920787	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	11589	3
