gene_id,seqid,region_claim,region_length_bp,taxon,isolate,mol_type,source,gff_gene_id,gene_biotype,Description,origin_evidence_class,origin_screen_priority,DEG_contexts,exact_deg_contrasts,GOs,KEGG_ko,KEGG_Pathway,PFAMs,start,end,strand
LOC126322581,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322581,protein_coding,uncharacterized LOC126322581,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,90520,93014,+
LOC126322583,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322583,lncRNA,uncharacterized LOC126322583,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,79183,80492,+
LOC126322586,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322586,protein_coding,uncharacterized LOC126322586,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,138687,141542,-
LOC126322588,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322588,protein_coding,uncharacterized LOC126322588,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,355846,360952,+
LOC126322603,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322603,protein_coding,uncharacterized LOC126322603,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,155641,157562,+
LOC126322606,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322606,protein_coding,uncharacterized LOC126322606,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,36332,40633,+
LOC126322607,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322607,protein_coding,uncharacterized LOC126322607,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,40654,45029,-
LOC126322609,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322609,protein_coding,uncharacterized LOC126322609,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,5177,8224,-
LOC126322613,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322613,protein_coding,uncharacterized LOC126322613,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,98114,99755,-
LOC126322614,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322614,protein_coding,uncharacterized LOC126322614,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,114831,115208,+
LOC126322615,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322615,protein_coding,uncharacterized LOC126322615,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,136147,137424,-
LOC126322619,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322619,protein_coding,uncharacterized LOC126322619,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,279066,280424,-
LOC126322679,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322679,protein_coding,uncharacterized LOC126322679,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,88491,91139,+
LOC126322687,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322687,protein_coding,uncharacterized LOC126322687,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,50715,54315,+
LOC126322689,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322689,protein_coding,uncharacterized LOC126322689,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,67810,73605,+
LOC126322692,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322692,protein_coding,uncharacterized LOC126322692,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,64034,66740,-
LOC126322694,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322694,protein_coding,uncharacterized LOC126322694,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,73723,75632,+
LOC126322699,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322699,lncRNA,uncharacterized LOC126322699,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,66328,67385,+
LOC126322701,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322701,lncRNA,uncharacterized LOC126322701,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,58225,59119,-
LOC126322703,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322703,lncRNA,uncharacterized LOC126322703,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,91630,93702,-
LOC126322708,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322708,protein_coding,uncharacterized LOC126322708,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,136108,138184,-
LOC126322710,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322710,protein_coding,uncharacterized LOC126322710,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,181071,185999,+
LOC126322713,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322713,protein_coding,uncharacterized LOC126322713,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,143597,145537,+
LOC126322714,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322714,protein_coding,uncharacterized LOC126322714,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,111566,114827,-
LOC126322720,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322720,protein_coding,uncharacterized LOC126322720,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,195362,196977,-
LOC126322726,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322726,protein_coding,uncharacterized LOC126322726,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,174402,176838,-
LOC126322729,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322729,protein_coding,uncharacterized LOC126322729,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,45317,80599,-
LOC126322730,NW_026062196.1,RefSeq S. gregaria unplaced genomic region,207904,7010,iqSchGreg1,genomic DNA,Gnomon,126322730,protein_coding,uncharacterized LOC126322730,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,130574,133389,-
LOC126323237,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323237,protein_coding,uncharacterized LOC126323237,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,52263,54524,+
LOC126323242,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323242,protein_coding,uncharacterized LOC126323242,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,74847,79455,-
LOC126323249,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323249,lncRNA,uncharacterized LOC126323249,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,54689,55392,-
LOC126323258,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323258,protein_coding,uncharacterized LOC126323258,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,91188,92159,-
LOC126323263,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323263,protein_coding,uncharacterized LOC126323263,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,3287,4742,-
LOC126323264,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323264,protein_coding,uncharacterized LOC126323264,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,9500,12507,+
LOC126323267,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323267,protein_coding,uncharacterized LOC126323267,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,93010,95563,-
LOC126323269,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323269,protein_coding,uncharacterized LOC126323269,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,92261,93006,+
LOC126323271,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323271,protein_coding,uncharacterized LOC126323271,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,34974,37967,-
LOC126323273,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323273,protein_coding,uncharacterized LOC126323273,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,38206,42206,-
LOC126323274,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323274,protein_coding,uncharacterized LOC126323274,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,101061,103346,+
LOC126323278,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323278,protein_coding,uncharacterized LOC126323278,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,26215,28586,+
LOC126323279,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323279,protein_coding,uncharacterized LOC126323279,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,30882,32326,-
LOC126323280,NW_026062217.1,RefSeq S. gregaria unplaced genomic region,108767,7010,iqSchGreg1,genomic DNA,Gnomon,126323280,protein_coding,uncharacterized LOC126323280,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,16292,18765,-
LOC126323716,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323716,protein_coding,uncharacterized LOC126323716,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,35576,41379,-
LOC126323719,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323719,protein_coding,uncharacterized LOC126323719,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,79657,84111,+
LOC126323721,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323721,protein_coding,uncharacterized LOC126323721,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,141336,143300,+
LOC126323723,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323723,protein_coding,uncharacterized LOC126323723,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,173131,174705,-
LOC126323727,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323727,protein_coding,uncharacterized LOC126323727,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,153676,154428,-
LOC126323729,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323729,protein_coding,uncharacterized LOC126323729,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,12710,15480,-
LOC126323742,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323742,protein_coding,uncharacterized LOC126323742,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected; Infection within diets,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,,,,,133383,134391,+
LOC126323745,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323745,protein_coding,uncharacterized LOC126323745,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,101579,102457,+
LOC126323747,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323747,lncRNA,uncharacterized LOC126323747,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,52658,53625,+
LOC126323749,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323749,protein_coding,uncharacterized LOC126323749,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,208076,209825,-
LOC126323750,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323750,lncRNA,uncharacterized LOC126323750,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,207408,207979,+
LOC126323754,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323754,protein_coding,uncharacterized LOC126323754,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,58087,59942,+
LOC126323757,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323757,protein_coding,uncharacterized LOC126323757,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,186273,192611,-
LOC126323763,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323763,protein_coding,uncharacterized LOC126323763,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,24974,26119,+
LOC126323765,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323765,protein_coding,uncharacterized LOC126323765,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,32461,33769,-
LOC126323767,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323767,protein_coding,uncharacterized LOC126323767,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,92596,96952,+
LOC126323770,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323770,protein_coding,uncharacterized LOC126323770,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,97110,101065,+
LOC126323772,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323772,protein_coding,uncharacterized LOC126323772,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,175745,177771,-
LOC126323773,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323773,lncRNA,uncharacterized LOC126323773,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,135019,135678,+
LOC126323774,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323774,protein_coding,uncharacterized LOC126323774,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,143314,147097,-
LOC126323776,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323776,lncRNA,uncharacterized LOC126323776,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,137639,141098,-
LOC126323777,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323777,protein_coding,uncharacterized LOC126323777,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,120703,125727,-
LOC126323788,NW_026062229.1,RefSeq S. gregaria unplaced genomic region,248508,7010,iqSchGreg1,genomic DNA,Gnomon,126323788,protein_coding,uncharacterized LOC126323788,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,164218,165687,-
LOC126323889,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323889,protein_coding,uncharacterized LOC126323889,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,139617,141266,+
LOC126323893,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323893,protein_coding,uncharacterized LOC126323893,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,234608,238047,+
LOC126323894,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323894,protein_coding,uncharacterized LOC126323894,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected; Infection within diets,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,,,,,129011,130887,-
LOC126323895,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323895,protein_coding,uncharacterized LOC126323895,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected; Infection within diets,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,,,,,122348,128430,-
LOC126323898,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323898,lncRNA,uncharacterized LOC126323898,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,38350,38952,+
LOC126323902,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323902,protein_coding,uncharacterized LOC126323902,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,41381,44521,-
LOC126323905,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323905,protein_coding,uncharacterized LOC126323905,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,10776,14009,-
LOC126323906,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323906,protein_coding,uncharacterized LOC126323906,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,30320,35127,+
LOC126323910,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323910,protein_coding,uncharacterized LOC126323910,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,94799,97482,+
LOC126323913,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323913,protein_coding,uncharacterized LOC126323913,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,59085,61949,+
LOC126323914,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323914,protein_coding,uncharacterized LOC126323914,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,61999,64837,+
LOC126323915,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323915,protein_coding,uncharacterized LOC126323915,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,64873,66391,-
LOC126323925,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323925,protein_coding,uncharacterized LOC126323925,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,142611,144609,+
LOC126323927,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323927,protein_coding,uncharacterized LOC126323927,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,25854,29109,+
LOC126323929,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323929,protein_coding,uncharacterized LOC126323929,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,14555,15857,-
LOC126323930,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323930,lncRNA,uncharacterized LOC126323930,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,22046,24969,-
LOC126323932,NW_026062236.1,RefSeq S. gregaria unplaced genomic region,256518,7010,iqSchGreg1,genomic DNA,Gnomon,126323932,protein_coding,uncharacterized LOC126323932,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,55179,58447,-
LOC126324025,NW_026062244.1,RefSeq S. gregaria unplaced genomic region,120664,7010,iqSchGreg1,genomic DNA,Gnomon,126324025,protein_coding,uncharacterized LOC126324025,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,95915,98197,-
