DEG_context,gene_id,seqid,start,end,midpoint,strand,seq_start,seq_end,chromosome,genome,chromosome_class,region_name,region_chromosome,region_genome,taxon,isolate,mol_type,tissue_type,region_length_bp,source,gff_gene_id,gff_description,gff_biotype,gff_gbkey,Description,gene_biotype,GOs,KEGG_ko,KEGG_Pathway,PFAMs,exact_deg_contrasts,annotation_text,has_domain_annotation,origin_evidence_class,origin_screen_priority,region_claim
Diet DEGs in infected,LOC126314451,NW_026061953.1,53956,56085,55020.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314451,uncharacterized LOC126314451,protein_coding,Gene,uncharacterized LOC126314451,protein_coding,"GO:0000339,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005846,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0014070,GO:0016070,GO:0016071,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0030422,GO:0031047,GO:0031050,GO:0031053,GO:0032991,GO:0034470,GO:0034518,GO:0034641,GO:0034660,GO:0035194,GO:0035195,GO:0035196,GO:0040029,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043331,GO:0043900,GO:0043901,GO:0043903,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045069,GO:0045071,GO:0046483,GO:0048519,GO:0048525,GO:0050789,GO:0050792,GO:0050896,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0070918,GO:0071310,GO:0071359,GO:0071407,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901698,GO:1901699,GO:1903900,GO:1903901,GO:1990904",ko:K12883,"ko03013,ko03015,ko03040,map03013,map03015,map03040",RRM_1,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"uncharacterized LOC126314451 | GO:0000339,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005846,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0014070,GO:0016070,GO:0016071,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0030422,GO:0031047,GO:0031050,GO:0031053,GO:0032991,GO:0034470,GO:0034518,GO:0034641,GO:0034660,GO:0035194,GO:0035195,GO:0035196,GO:0040029,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043331,GO:0043900,GO:0043901,GO:0043903,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045069,GO:0045071,GO:0046483,GO:0048519,GO:0048525,GO:0050789,GO:0050792,GO:0050896,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0070918,GO:0071310,GO:0071359,GO:0071407,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901698,GO:1901699,GO:1903900,GO:1903901,GO:1990904 | ko:K12883 | ko03013,ko03015,ko03040,map03013,map03015,map03040 | RRM_1 | Diet contrasts among infected | Infected 33 vs 50 | Downregulated",TRUE,Uncharacterized but has domains,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314449,NW_026061953.1,56390,58237,57313.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314449,uncharacterized LOC126314449,protein_coding,Gene,uncharacterized LOC126314449,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314449 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314457,NW_026061953.1,59982,61084,60533,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314457,uncharacterized LOC126314457,lncRNA,Gene,uncharacterized LOC126314457,lncRNA,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314457 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314458,NW_026061953.1,68231,69146,68688.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314458,uncharacterized LOC126314458,lncRNA,Gene,uncharacterized LOC126314458,lncRNA,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314458 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314441,NW_026061953.1,69321,72175,70748,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314441,ras guanine nucleotide exchange factor A-like,protein_coding,Gene,ras guanine nucleotide exchange factor A-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,ras guanine nucleotide exchange factor A-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314445,NW_026061953.1,83171,85806,84488.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314445,probable serine/threonine-protein kinase DDB_G0292354,protein_coding,Gene,probable serine/threonine-protein kinase DDB_G0292354,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,probable serine/threonine-protein kinase DDB_G0292354 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314440,NW_026061953.1,86739,89620,88179.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314440,uncharacterized LOC126314440,protein_coding,Gene,uncharacterized LOC126314440,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314440 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314426,NW_026061953.1,94754,99903,97328.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314426,uncharacterized LOC126314426,protein_coding,Gene,uncharacterized LOC126314426,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314426 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314430,NW_026061953.1,103816,111959,107887.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314430,uncharacterized LOC126314430,protein_coding,Gene,uncharacterized LOC126314430,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314430 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314455,NW_026061953.1,118967,119992,119479.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314455,uncharacterized LOC126314455,protein_coding,Gene,uncharacterized LOC126314455,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314455 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314439,NW_026061953.1,122063,124221,123142,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314439,uncharacterized LOC126314439,protein_coding,Gene,uncharacterized LOC126314439,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314439 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314436,NW_026061953.1,126990,129767,128378.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314436,uncharacterized LOC126314436,protein_coding,Gene,uncharacterized LOC126314436,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314436 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314452,NW_026061953.1,129761,130946,130353.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314452,proteasome subunit beta type-7-like,protein_coding,Gene,proteasome subunit beta type-7-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,proteasome subunit beta type-7-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314447,NW_026061953.1,130975,132777,131876,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314447,uncharacterized LOC126314447,protein_coding,Gene,uncharacterized LOC126314447,protein_coding,,,,BSD,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314447 | | | | BSD | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,TRUE,Uncharacterized but has domains,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314437,NW_026061953.1,134281,170834,152557.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314437,DNA ligase 1-like,protein_coding,Gene,DNA ligase 1-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,DNA ligase 1-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314427,NW_026061953.1,138593,143221,140907,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314427,gem-associated protein 5-like,protein_coding,Gene,gem-associated protein 5-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,gem-associated protein 5-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314429,NW_026061953.1,147913,153961,150937,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314429,uncharacterized LOC126314429,protein_coding,Gene,uncharacterized LOC126314429,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314429 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314456,NW_026061953.1,156389,157435,156912,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314456,60S ribosomal protein L9-like,protein_coding,Gene,60S ribosomal protein L9-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,60S ribosomal protein L9-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314433,NW_026061953.1,160259,163475,161867,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314433,vam6/Vps39-like protein,protein_coding,Gene,vam6/Vps39-like protein,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,vam6/Vps39-like protein | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314414,NW_026061953.1,170976,174175,172575.5,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314414,WD repeat and HMG-box DNA-binding protein 1-like,protein_coding,Gene,WD repeat and HMG-box DNA-binding protein 1-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,WD repeat and HMG-box DNA-binding protein 1-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314411,NW_026061953.1,175684,180022,177853,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314411,uncharacterized LOC126314411,protein_coding,Gene,uncharacterized LOC126314411,protein_coding,"GO:0000003,GO:0000323,GO:0000902,GO:0000904,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0006810,GO:0006897,GO:0006909,GO:0006911,GO:0006928,GO:0006935,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007409,GO:0007411,GO:0008092,GO:0008150,GO:0008152,GO:0008154,GO:0009605,GO:0009653,GO:0009888,GO:0009987,GO:0010324,GO:0010467,GO:0010591,GO:0010592,GO:0010631,GO:0010941,GO:0016043,GO:0016192,GO:0016477,GO:0017196,GO:0018193,GO:0018206,GO:0019538,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0030027,GO:0030029,GO:0030030,GO:0030036,GO:0030042,GO:0030154,GO:0030182,GO:0030424,GO:0030426,GO:0030427,GO:0030707,GO:0030855,GO:0031175,GO:0031248,GO:0031252,GO:0031344,GO:0031346,GO:0031365,GO:0031414,GO:0031416,GO:0032501,GO:0032502,GO:0032504,GO:0032984,GO:0032989,GO:0032990,GO:0032991,GO:0033267,GO:0036211,GO:0040011,GO:0042221,GO:0042330,GO:0042981,GO:0042995,GO:0043005,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043523,GO:0043524,GO:0043543,GO:0043624,GO:0043933,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051261,GO:0051604,GO:0051674,GO:0051704,GO:0060429,GO:0060491,GO:0060548,GO:0061024,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0090130,GO:0090132,GO:0090723,GO:0097374,GO:0097435,GO:0097458,GO:0097485,GO:0098657,GO:0099024,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0150034,GO:1901214,GO:1901215,GO:1901564,GO:1902493,GO:1902494,GO:1902743,GO:1902745,GO:1990234,GO:1990761",ko:K17973,,"NARP1,NatB_MDM20",Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"uncharacterized LOC126314411 | GO:0000003,GO:0000323,GO:0000902,GO:0000904,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0006810,GO:0006897,GO:0006909,GO:0006911,GO:0006928,GO:0006935,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007409,GO:0007411,GO:0008092,GO:0008150,GO:0008152,GO:0008154,GO:0009605,GO:0009653,GO:0009888,GO:0009987,GO:0010324,GO:0010467,GO:0010591,GO:0010592,GO:0010631,GO:0010941,GO:0016043,GO:0016192,GO:0016477,GO:0017196,GO:0018193,GO:0018206,GO:0019538,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0030027,GO:0030029,GO:0030030,GO:0030036,GO:0030042,GO:0030154,GO:0030182,GO:0030424,GO:0030426,GO:0030427,GO:0030707,GO:0030855,GO:0031175,GO:0031248,GO:0031252,GO:0031344,GO:0031346,GO:0031365,GO:0031414,GO:0031416,GO:0032501,GO:0032502,GO:0032504,GO:0032984,GO:0032989,GO:0032990,GO:0032991,GO:0033267,GO:0036211,GO:0040011,GO:0042221,GO:0042330,GO:0042981,GO:0042995,GO:0043005,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043523,GO:0043524,GO:0043543,GO:0043624,GO:0043933,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051261,GO:0051604,GO:0051674,GO:0051704,GO:0060429,GO:0060491,GO:0060548,GO:0061024,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0090130,GO:0090132,GO:0090723,GO:0097374,GO:0097435,GO:0097458,GO:0097485,GO:0098657,GO:0099024,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0150034,GO:1901214,GO:1901215,GO:1901564,GO:1902493,GO:1902494,GO:1902743,GO:1902745,GO:1990234,GO:1990761 | ko:K17973 | | NARP1,NatB_MDM20 | Diet contrasts among infected | Infected 33 vs 50 | Downregulated",TRUE,Uncharacterized but has domains,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314419,NW_026061953.1,180423,182041,181232,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314419,uncharacterized LOC126314419,protein_coding,Gene,uncharacterized LOC126314419,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314419 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314418,NW_026061953.1,182035,191261,186648,-,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314418,DNA repair protein RAD50-like,protein_coding,Gene,DNA repair protein RAD50-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,DNA repair protein RAD50-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314412,NW_026061953.1,193950,198004,195977,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314412,signal recognition particle subunit SRP72-like,protein_coding,Gene,signal recognition particle subunit SRP72-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,signal recognition particle subunit SRP72-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314408,NW_026061953.1,198108,202895,200501.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314408,uncharacterized LOC126314408,protein_coding,Gene,uncharacterized LOC126314408,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314408 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314415,NW_026061953.1,206624,209165,207894.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314415,uncharacterized LOC126314415,protein_coding,Gene,uncharacterized LOC126314415,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,uncharacterized LOC126314415 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126314420,NW_026061953.1,211458,216755,214106.5,+,1,216778,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,216778,Gnomon,126314420,protein HID1-like,protein_coding,Gene,protein HID1-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,protein HID1-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126315207,NW_026061958.1,1550,6547,4048.5,-,1,23566,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,23566,Gnomon,126315207,protein FAN-like,protein_coding,Gene,protein FAN-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,protein FAN-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126315212,NW_026061958.1,16302,17279,16790.5,+,1,23566,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,23566,Gnomon,126315212,40S ribosomal protein S6-like,protein_coding,Gene,40S ribosomal protein S6-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,40S ribosomal protein S6-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126315227,NW_026061960.1,6094,7248,6671,+,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315227,60S ribosomal protein L11-like,protein_coding,Gene,60S ribosomal protein L11-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,60S ribosomal protein L11-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126315282,NW_026061960.1,12101,14345,13223,-,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315282,T-complex protein 1 subunit delta-like,protein_coding,Gene,T-complex protein 1 subunit delta-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,T-complex protein 1 subunit delta-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Diet DEGs in infected,LOC126315281,NW_026061960.1,14542,17016,15779,-,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315281,luminal-binding protein 2-like,protein_coding,Gene,luminal-binding protein 2-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,luminal-binding protein 2-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
