Description,GeneID_File1,GeneID_File2
serine/arginine repetitive matrix protein 2-like,LOC126325909,LOC126325909
twinfilin-like,LOC126325919,LOC126325919
mob kinase activator-like 1 homolog c,LOC126325926,LOC126325926
ring finger protein 10-like,LOC126325912,LOC126325912
cyfip-related rac1 interactor homolog,LOC126325920,LOC126322537
cyfip-related rac1 interactor homolog,LOC126325920,LOC126325920
uncharacterized loc126325911,LOC126325911,LOC126325911
pre-mrna-splicing factor syf1 homolog,LOC126325943,LOC126325943
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126314441
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126318676
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126322549
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126325907
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126329922
ras guanine nucleotide exchange factor a-like,LOC126325907,LOC126330805
sphingolipid delta(4)-desaturase des1-like,LOC126325953,LOC126325953
protein lin-28-like,LOC126326073,LOC126326073
actin-related protein 2/3 complex subunit 4-like,LOC126326068,LOC126326068
uncharacterized loc126326080,LOC126326080,LOC126326080
uncharacterized loc126326081,LOC126326081,LOC126326081
uncharacterized loc126326065,LOC126326065,LOC126326065
probable glutamine--trna ligase,LOC126326076,LOC126326076
uncharacterized loc126326053,LOC126326053,LOC126326053
40s ribosomal protein s4-like,LOC126326057,LOC126326057
uncharacterized loc126326046,LOC126326046,LOC126326046
uncharacterized loc126326058,LOC126326058,LOC126326058
rna polymerase-associated protein rtf1 homolog,LOC126326048,LOC126326048
uncharacterized loc126326038,LOC126326038,LOC126326038
uncharacterized loc126326123,LOC126326123,LOC126326123
nicotinate phosphoribosyltransferase-like,LOC126326118,LOC126326118
uncharacterized loc126326132,LOC126326132,LOC126326132
ataxin-2 homolog,LOC126326200,LOC126326200
rho gtpase-activating protein 39-like,LOC126326199,LOC126326199
retinal-specific phospholipid-transporting atpase abca4-like,LOC126326196,LOC126326196
adenylate kinase-like,LOC126326207,LOC126326207
uncharacterized loc126326217,LOC126326217,LOC126326217
titin homolog,LOC126326198,LOC126326198
ccr4-not transcription complex subunit 1-like,LOC126326229,LOC126326229
uncharacterized loc126326508,LOC126326508,LOC126326508
myosin light chain kinase a-like,LOC126326512,LOC126320356
myosin light chain kinase a-like,LOC126326512,LOC126325865
myosin light chain kinase a-like,LOC126326512,LOC126326512
crt homolog 1-like,LOC126326513,LOC126326513
uncharacterized loc126326519,LOC126326519,LOC126326519
uncharacterized loc126326521,LOC126326521,LOC126326521
eukaryotic translation initiation factor 3 subunit d-like,LOC126326525,LOC126326525
uncharacterized loc126326527,LOC126326527,LOC126326527
uncharacterized loc126326555,LOC126326555,LOC126326555
uncharacterized loc126326556,LOC126326556,LOC126326556
uncharacterized loc126326566,LOC126326566,LOC126326566
uncharacterized loc126326590,LOC126326590,LOC126326590
probable arginine--trna ligase%2c cytoplasmic,LOC126326588,LOC126326588
uncharacterized loc126326585,LOC126326585,LOC126326585
serine/threonine-protein kinase mark2-like,LOC126326587,LOC126326587
probable serine/threonine-protein kinase roco4,LOC126326603,LOC126326603
tbc1 domain family member 8b-like,LOC126326570,LOC126326570
uncharacterized loc126326573,LOC126326573,LOC126326573
fk506-binding protein 5-like,LOC126326571,LOC126326571
diacylglycerol kinase 1-like,LOC126327199,LOC126327199
denn domain-containing protein 2a-like,LOC126327201,LOC126327201
crossover junction endonuclease mus81-like,LOC126327185,LOC126327185
vacuolar protein sorting-associated protein 35-like,LOC126327207,LOC126327207
atp-dependent rna helicase dhx8-like,LOC126327194,LOC126327194
uncharacterized loc126327182,LOC126327182,LOC126327182
uncharacterized loc126328056,LOC126328056,LOC126328056
transcription initiation factor tfiid subunit 12-like,LOC126328064,LOC126328064
26s proteasome non-atpase regulatory subunit 12-like,LOC126328059,LOC126328059
uncharacterized loc126328220,LOC126328220,LOC126328220
protein spalten-like,LOC126328221,LOC126318707
protein spalten-like,LOC126328221,LOC126328221
dual specificity protein kinase shkc-like,LOC126328213,LOC126315224
dual specificity protein kinase shkc-like,LOC126328213,LOC126326547
dual specificity protein kinase shkc-like,LOC126328213,LOC126328213
v-type proton atpase subunit h-like,LOC126329087,LOC126329087
telo2-interacting protein 1 homolog,LOC126329590,LOC126329590
uncharacterized loc126329579,LOC126329579,LOC126329579
ras-related protein rab-5a-like,LOC126329583,LOC126329583
ankyrin repeat and death domain-containing protein 1b-like,LOC126329587,LOC126329587
uncharacterized loc126329586,LOC126329586,LOC126329586
transportin-1-like,LOC126329938,LOC126329938
uncharacterized loc126329989,LOC126329989,LOC126329989
nuclear pore complex protein ddb_g0274915-like,LOC126329995,LOC126329995
uncharacterized loc126329981,LOC126329981,LOC126329981
uncharacterized loc126329983,LOC126329983,LOC126329983
uncharacterized loc126330072,LOC126330072,LOC126330072
uncharacterized loc126330068,LOC126330068,LOC126330068
uncharacterized loc126330806,LOC126330806,LOC126330806
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126314441
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126318676
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126322549
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126325907
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126329922
ras guanine nucleotide exchange factor a-like,LOC126330805,LOC126330805
probable alanine aminotransferase%2c mitochondrial,LOC126330815,LOC126330815
uncharacterized loc126330799,LOC126330799,LOC126330799
dynamin-like protein a,LOC126331441,LOC126311186
dynamin-like protein a,LOC126331441,LOC126322546
dynamin-like protein a,LOC126331441,LOC126331441
uncharacterized loc126331442,LOC126331442,LOC126331442
glucose-6-phosphate isomerase-like,LOC126332398,LOC126332398
stress-activated protein kinase alpha-like,LOC126332399,LOC126315288
stress-activated protein kinase alpha-like,LOC126332399,LOC126316981
stress-activated protein kinase alpha-like,LOC126332399,LOC126322691
stress-activated protein kinase alpha-like,LOC126332399,LOC126332399
uncharacterized loc126332394,LOC126332394,LOC126332394
nuclear pore complex protein nup107-like,LOC126332400,LOC126332400
dna-directed rna polymerase i subunit rpa1-like,LOC126332393,LOC126332393
uncharacterized loc126332405,LOC126332405,LOC126332405
uncharacterized loc126332765,LOC126332765,LOC126332765
j domain-containing protein ddb_g0295729-like,LOC126332797,LOC126332797
mucin-12-like,LOC126332799,LOC126332799
uncharacterized loc126332792,LOC126332792,LOC126332792
uncharacterized loc126334341,LOC126334341,LOC126334341
keratinocyte proline-rich protein-like,LOC126344004,LOC126344004
ornithine aminotransferase%2c mitochondrial,LOC126352958,LOC126352958
uncharacterized loc126272354,LOC126272354,LOC126272354
mfs-type transporter slc18b1-like,LOC126337066,LOC126337066
trifunctional purine biosynthetic protein adenosine-3,LOC126354610,LOC126354610
juvenile hormone esterase-like,LOC126354365,LOC126354365
juvenile hormone esterase-like,LOC126354365,LOC126354705
uncharacterized loc126354934,LOC126354934,LOC126354934
sodium-coupled monocarboxylate transporter 1-like,LOC126268174,LOC126268174
sodium-coupled monocarboxylate transporter 1-like,LOC126268174,LOC126268173
sodium-coupled monocarboxylate transporter 1-like,LOC126268174,LOC126278407
sodium-coupled monocarboxylate transporter 1-like,LOC126268174,LOC126278211
sodium-coupled monocarboxylate transporter 1-like,LOC126268174,LOC126284566
uncharacterized transporter slc-17.2-like,LOC126268018,LOC126268018
neuroparsin-a,LOC126267355,LOC126267355
juvenile hormone esterase-like,LOC126268026,LOC126354365
juvenile hormone esterase-like,LOC126268026,LOC126354705
cytochrome p450 6k1-like,LOC126272143,LOC126272144
cytochrome p450 6k1-like,LOC126272143,LOC126273058
cytochrome p450 6k1-like,LOC126272143,LOC126272683
facilitated trehalose transporter tret1-2 homolog,LOC126278499,LOC126278499
inositol oxygenase-like,LOC126277892,LOC126277896
inositol oxygenase-like,LOC126277892,LOC126277895
sodium-coupled monocarboxylate transporter 1-like,LOC126278407,LOC126268174
sodium-coupled monocarboxylate transporter 1-like,LOC126278407,LOC126268173
sodium-coupled monocarboxylate transporter 1-like,LOC126278407,LOC126278407
sodium-coupled monocarboxylate transporter 1-like,LOC126278407,LOC126278211
sodium-coupled monocarboxylate transporter 1-like,LOC126278407,LOC126284566
leucine-rich repeat-containing protein 24,LOC126278199,LOC126278199
udp-glycosyltransferase ugt5-like,LOC126285309,LOC126266939
udp-glycosyltransferase ugt5-like,LOC126285309,LOC126285310
udp-glycosyltransferase ugt5-like,LOC126285309,LOC126285309
udp-glycosyltransferase ugt5-like,LOC126284862,LOC126266939
udp-glycosyltransferase ugt5-like,LOC126284862,LOC126285310
udp-glycosyltransferase ugt5-like,LOC126284862,LOC126285309
proteoglycan 4-like,LOC126291739,LOC126322417
proteoglycan 4-like,LOC126291739,LOC126326562
synaptic vesicle glycoprotein 2b-like,LOC126293755,LOC126273309
synaptic vesicle glycoprotein 2b-like,LOC126293755,LOC126272485
synaptic vesicle glycoprotein 2b-like,LOC126293755,LOC126272232
synaptic vesicle glycoprotein 2b-like,LOC126293755,LOC126293755
synaptic vesicle glycoprotein 2b-like,LOC126293755,LOC126293655
udp-glucosyltransferase 2-like,LOC126293432,LOC126354652
udp-glucosyltransferase 2-like,LOC126293432,LOC126282179
d-3-phosphoglycerate dehydrogenase,LOC126295405,LOC126295405
facilitated trehalose transporter tret1-like,LOC126295156,LOC126353355
facilitated trehalose transporter tret1-like,LOC126295156,LOC126278130
facilitated trehalose transporter tret1-like,LOC126295156,LOC126278132
facilitated trehalose transporter tret1-like,LOC126295156,LOC126278605
histone-lysine n-methyltransferase 2d-like,LOC126298156,LOC126298156
amidophosphoribosyltransferase-like,LOC126299364,LOC126320414
adp-sugar pyrophosphatase-like,LOC126297490,LOC126297490
adp-sugar pyrophosphatase-like,LOC126297490,LOC126325938
cullin-1-like,LOC126297745,LOC126322414
