	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	LOC126267298	REPTOR-binding partner isoform X1	669	3	3.61E-65	60.73						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267316	Longitudinals lacking protein, isoforms H/M/V	31101	20	5.25E-89	83.62	1	F:GO:0005515	F:protein binding			IPR011333 (G3DSA:3.30.710.GENE3D); IPR000210 (PFAM); IPR011333 (G3DSA:3.30.710.GENE3D); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); IPR000210 (PROSITE_PROFILES); cd18186 (CDD); cd18315 (CDD); cd18186 (CDD); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR011333 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED]	LOC126267307	2-aminoadipate transaminase	2724	8	1.34E-192	65.85	2	P:GO:0009058; F:GO:0030170	P:biosynthetic process; F:pyridoxal phosphate binding			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126267422	U-scoloptoxin(19)-Sm1a	441	2	1.37E-106	99.63						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272260	craniofacial development protein 2-like	1305	1	0.0	99.77	1	F:GO:0003824	F:catalytic activity			IPR005135 (PFAM); IPR036691 (G3DSA:3.60.10.GENE3D); cd09076 (CDD); IPR036691 (SUPERFAMILY)	F:GO:0003824	F:catalytic activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267432	uncharacterized protein LOC103511486	2016	1	3.71E-165	64.38	1	P:GO:0051260	P:protein homooligomerization			IPR003131 (PFAM); IPR011333 (G3DSA:3.30.710.GENE3D); cd18361 (CDD); IPR011333 (SUPERFAMILY)	P:GO:0051260	P:protein homooligomerization
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267441	transcription initiation factor TFIID subunit 4 isoform X1	12573	19	3.07E-287	77.68	1	P:GO:0006351	P:DNA-templated transcription			G3DSA:1.20.120.1110:FF:000004 (FUNFAM); IPR037249 (G3DSA:1.20.120.GENE3D); IPR003894 (PFAM); IPR003894 (PROSITE_PROFILES); IPR003894 (PROSITE_PROFILES); IPR037249 (SUPERFAMILY); IPR037249 (SUPERFAMILY); IPR037249 (SUPERFAMILY)	P:GO:0006351	P:DNA-templated transcription
true	[INTERPRO, BLASTED]	LOC126267467	differentially expressed in FDCP 8 homolog A isoform X1	4098	16	3.93E-158	67.25						IPR025258 (PFAM); G3DSA:3.30.60.20 (GENE3D); IPR002219 (PROSITE_PROFILES); IPR047983 (CDD); IPR046349 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126267494	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial	1503	6	0.0	99.8						IPR001932 (PFAM); IPR036457 (G3DSA:3.60.40.GENE3D); IPR001932 (PROSITE_PROFILES); IPR001932 (CDD); IPR036457 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267500	vacuolar protein sorting-associated protein 4A isoform X1	2634	4	1.42E-156	53.01	2	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATP hydrolysis activity			G3DSA:3.40.50.300:FF:002588 (FUNFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR003959 (PFAM); PIRSR001174-2 (PIRSR); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATP hydrolysis activity
true	[INTERPRO, BLASTED]	LOC126267512	vesicle-associated membrane protein-associated protein B	1518	1	1.34E-124	57.21						IPR013783 (G3DSA:2.60.40.GENE3D); IPR000535 (PFAM); IPR000535 (PROSITE_PROFILES); IPR008962 (SUPERFAMILY); IPR008962 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267484	NEDD8-activating enzyme E1 regulatory subunit	1617	4	0.0	99.91	2	P:GO:0045116; F:GO:0019781	P:protein neddylation; F:NEDD8 activating enzyme activity			G3DSA:3.40.50.720:FF:000187 (FUNFAM); IPR030667 (PIRSF); G3DSA:3.40.50.12550 (GENE3D); IPR000594 (PFAM); G3DSA:3.40.50.720 (GENE3D); PIRSR612731-2 (PIRSR); PIRSR039133-2 (PIRSR); cd01493 (CDD); IPR035985 (SUPERFAMILY)	P:GO:0045116; F:GO:0008641; F:GO:0019781	P:protein neddylation; F:ubiquitin-like modifier activating enzyme activity; F:NEDD8 activating enzyme activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267527	WAP four-disulfide core domain protein 2-like	390	6	1.89E-98	96.03	2	F:GO:0030414; C:GO:0005576	F:peptidase inhibitor activity; C:extracellular region			IPR036645 (G3DSA:4.10.75.GENE3D); IPR008197 (PFAM); IPR036645 (G3DSA:4.10.75.GENE3D); IPR008197 (PROSITE_PROFILES); IPR008197 (PROSITE_PROFILES); IPR036645 (SUPERFAMILY); IPR036645 (SUPERFAMILY)	F:GO:0030414; C:GO:0005576	F:peptidase inhibitor activity; C:extracellular region
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267554	waprin-Rha1	333	5	6.31E-79	97.16	2	F:GO:0030414; C:GO:0005576	F:peptidase inhibitor activity; C:extracellular region			IPR008197 (PFAM); IPR036645 (G3DSA:4.10.75.GENE3D); IPR008197 (PROSITE_PROFILES); IPR036645 (SUPERFAMILY)	F:GO:0030414; C:GO:0005576	F:peptidase inhibitor activity; C:extracellular region
true	[INTERPRO, BLASTED]	LOC126267544	UGX04176.1 calcitonin b-2	528	5	2.34E-128	99.43						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267535	kynurenine formamidase isoform X1	918	6	6.59E-220	96.73	1	F:GO:0016787	F:hydrolase activity			IPR029058 (G3DSA:3.40.50.GENE3D); IPR013094 (PFAM); IPR029058 (SUPERFAMILY)	F:GO:0016787	F:hydrolase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272332	E3 SUMO-protein ligase ZBED1-like	858	1	2.38E-187	100.0	1	F:GO:0003677	F:DNA binding			IPR003656 (PFAM); IPR012337 (SUPERFAMILY)	F:GO:0003677	F:DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267564	methyl farnesoate epoxidase-like	1452	7	0.0	99.79	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR001128 (PRINTS); IPR002401 (PRINTS); G3DSA:1.10.630.10:FF:000036 (FUNFAM); IPR036396 (G3DSA:1.10.630.GENE3D); IPR001128 (PFAM); PIRSR602402-1 (PIRSR); PIRSR000047-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR602403-1 (PIRSR); PIRSR000209-1 (PIRSR); cd20651 (CDD); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267603	nuclear hormone receptor FTZ-F1	2064	7	0.0	98.81	4	P:GO:0006355; F:GO:0003700; F:GO:0008270; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; F:zinc ion binding; F:sequence-specific DNA binding			IPR001628 (PRINTS); IPR001723 (PRINTS); G3DSA:1.10.565.10:FF:000032 (FUNFAM); G3DSA:3.30.50.10:FF:000006 (FUNFAM); IPR000536 (PFAM); IPR013088 (G3DSA:3.30.50.GENE3D); IPR001628 (PFAM); IPR035500 (G3DSA:1.10.565.GENE3D); PIRSR002530-1 (PIRSR); IPR001628 (PROSITE_PROFILES); IPR000536 (PROSITE_PROFILES); cd06944 (CDD); cd07167 (CDD); SSF57716 (SUPERFAMILY); IPR035500 (SUPERFAMILY)	P:GO:0006355; F:GO:0003700; F:GO:0008270; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; F:zinc ion binding; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267573	probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial	1269	6	4.65E-311	99.68	4	P:GO:0006635; F:GO:0050660; F:GO:0070991; C:GO:0005739	P:fatty acid beta-oxidation; F:flavin adenine dinucleotide binding; F:medium-chain fatty acyl-CoA dehydrogenase activity; C:mitochondrion			G3DSA:2.40.110.10:FF:000007 (FUNFAM); G3DSA:1.10.540.10:FF:000010 (FUNFAM); G3DSA:1.20.140.10:FF:000011 (FUNFAM); IPR013786 (PFAM); IPR046373 (G3DSA:2.40.110.GENE3D); IPR009075 (PFAM); IPR006091 (PFAM); G3DSA:1.20.140.10 (GENE3D); PIRSF016578 (PIRSF); IPR037069 (G3DSA:1.10.540.GENE3D); PIRSR634178-1 (PIRSR); PIRSR000168-2 (PIRSR); PIRSR634183-2 (PIRSR); PIRSR634180-1 (PIRSR); PIRSR000168-1 (PIRSR); PIRSR634183-3 (PIRSR); PIRSR634180-3 (PIRSR); IPR034180 (CDD); IPR036250 (SUPERFAMILY); IPR009100 (SUPERFAMILY)	P:GO:0006635; F:GO:0016627; F:GO:0050660; F:GO:0070991; C:GO:0005739	P:fatty acid beta-oxidation; F:oxidoreductase activity, acting on the CH-CH group of donors; F:flavin adenine dinucleotide binding; F:medium-chain fatty acyl-CoA dehydrogenase activity; C:mitochondrion
true	[INTERPRO, BLASTED]	LOC126267587	uncharacterized protein LOC126267587	441	1	9.66E-98	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126267619	telomere length and silencing protein 1 homolog	921	3	1.72E-211	99.46						IPR010756 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126302916	uncharacterized protein LOC126302916 isoform X1	744	5	2.4E-74	72.56						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126303193	uncharacterized protein LOC126303193	507	3	2.36E-120	97.24						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126303359	uncharacterized protein LOC126303359	1194	6	9.03E-85	98.77						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272408	chymotrypsin-1-like	633	1	9.96E-154	100.0	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			G3DSA:2.40.10.10:FF:000068 (FUNFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR043504 (G3DSA:2.40.10.GENE3D); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); PIRSR001149-4 (PIRSR); PIRSR001145-3 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR009003 (SUPERFAMILY); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272482	mite allergen Der f 3-like isoform X1	750	4	4.53E-183	98.4	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000036 (FUNFAM); G3DSA:2.40.10.10:FF:000068 (FUNFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); PIRSR001150-1 (PIRSR); PIRSR001145-3 (PIRSR); PIRSR001155-1 (PIRSR); PIRSR037933-1 (PIRSR); PIRSR036370-1 (PIRSR); PIRSR037941-1 (PIRSR); PIRSR001146-1 (PIRSR); PIRSR037935-1 (PIRSR); PIRSR001141-1 (PIRSR); PIRSR001149-4 (PIRSR); PIRSR036376-50 (PIRSR); PIRSR001145-1 (PIRSR); PIRSR001149-1 (PIRSR); PIRSR001143-1 (PIRSR); PIRSR001138-1 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272559	chymotrypsin-1-like	378	1	2.25E-86	100.0	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000068 (FUNFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); IPR043504 (G3DSA:2.40.10.GENE3D); PIRSR001149-4 (PIRSR); PIRSR001145-3 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126303635	mite allergen Der f 3-like	780	4	9.53E-190	98.43	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000036 (FUNFAM); G3DSA:2.40.10.10:FF:000068 (FUNFAM); IPR001254 (PFAM); IPR043504 (G3DSA:2.40.10.GENE3D); PIRSR001141-1 (PIRSR); PIRSR036376-50 (PIRSR); PIRSR001145-3 (PIRSR); PIRSR001146-1 (PIRSR); PIRSR001138-1 (PIRSR); PIRSR001145-1 (PIRSR); PIRSR001150-1 (PIRSR); PIRSR001143-1 (PIRSR); PIRSR001155-1 (PIRSR); PIRSR037935-1 (PIRSR); PIRSR001149-1 (PIRSR); PIRSR001149-4 (PIRSR); PIRSR036370-1 (PIRSR); PIRSR037941-1 (PIRSR); PIRSR037933-1 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126303912	mite allergen Der p 3-like	777	3	1.52E-190	99.22	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000047 (FUNFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); PIRSR037941-1 (PIRSR); PIRSR037933-1 (PIRSR); PIRSR001138-1 (PIRSR); PIRSR001145-3 (PIRSR); PIRSR001146-1 (PIRSR); PIRSR001145-1 (PIRSR); PIRSR036370-1 (PIRSR); PIRSR037935-1 (PIRSR); PIRSR001141-1 (PIRSR); PIRSR001149-1 (PIRSR); PIRSR001149-4 (PIRSR); PIRSR001143-1 (PIRSR); PIRSR036376-50 (PIRSR); PIRSR001150-1 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126304078	mite allergen Der f 3-like	747	6	2.95E-183	98.63	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000036 (FUNFAM); G3DSA:2.40.10.10:FF:000068 (FUNFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); PIRSR036376-50 (PIRSR); PIRSR001138-1 (PIRSR); PIRSR037935-1 (PIRSR); PIRSR037933-1 (PIRSR); PIRSR036370-1 (PIRSR); PIRSR001143-1 (PIRSR); PIRSR001145-1 (PIRSR); PIRSR001155-1 (PIRSR); PIRSR001141-1 (PIRSR); PIRSR001150-1 (PIRSR); PIRSR001145-3 (PIRSR); PIRSR037941-1 (PIRSR); PIRSR001149-1 (PIRSR); PIRSR001146-1 (PIRSR); PIRSR001149-4 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272633	CCN family member 4	1254	5	0.0	98.09	3	P:GO:0007165; F:GO:0005515; C:GO:0005576	P:signal transduction; F:protein binding; C:extracellular region			IPR001007 (PFAM); IPR000867 (PFAM); IPR043973 (PFAM); IPR036383 (G3DSA:2.20.100.GENE3D); IPR000867 (PROSITE_PROFILES); IPR001007 (PROSITE_PROFILES); IPR000884 (PROSITE_PROFILES); IPR009030 (SUPERFAMILY); IPR036383 (SUPERFAMILY); SSF57603 (SUPERFAMILY)	P:GO:0007165; F:GO:0005515; C:GO:0005576	P:signal transduction; F:protein binding; C:extracellular region
true	[INTERPRO, BLASTED]	LOC126267631	uncharacterized protein LOC126267631 isoform X1	1374	2	1.51E-119	68.56						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126267656	methyltransferase-like protein 17, mitochondrial	2424	8	5.44E-215	67.4	2	P:GO:0006412; F:GO:0008168	P:translation; F:methyltransferase activity			IPR015324 (PFAM); PIRSR006325-1 (PIRSR)	P:GO:0006412; F:GO:0008168	P:translation; F:methyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267645	xenotropic and polytropic retrovirus receptor 1	1998	5	0.0	99.22	1	C:GO:0016020	C:membrane			IPR004331 (PFAM); IPR004342 (PFAM); IPR004342 (PROSITE_PROFILES); IPR004331 (PROSITE_PROFILES); cd14477 (CDD)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267671	peptidoglycan-recognition protein SD-like isoform X1	2214	10	2.82E-110	81.74	2	P:GO:0009253; F:GO:0008745	P:peptidoglycan catabolic process; F:N-acetylmuramoyl-L-alanine amidase activity			IPR036505 (G3DSA:3.40.80.GENE3D); PIRSR037945-1 (PIRSR); IPR002502 (CDD); IPR036505 (SUPERFAMILY)	P:GO:0009253; F:GO:0008745	P:peptidoglycan catabolic process; F:N-acetylmuramoyl-L-alanine amidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272700	T-box transcription factor mls-1-like	891	1	1.09E-218	100.0	3	P:GO:0045893; F:GO:0003700; C:GO:0005634	P:positive regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; C:nucleus			IPR046360 (PRINTS); IPR046360 (PFAM); IPR036960 (G3DSA:2.60.40.GENE3D); IPR046360 (PROSITE_PROFILES); IPR008967 (SUPERFAMILY)	P:GO:0006355; P:GO:0045893; F:GO:0003700; C:GO:0005634	P:regulation of DNA-templated transcription; P:positive regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; C:nucleus
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272809	otoferlin-like	2952	1	0.0	100.0	1	C:GO:0016020	C:membrane			IPR035892 (G3DSA:2.60.40.GENE3D); IPR000008 (PFAM); IPR012561 (PFAM); IPR000008 (PROSITE_PROFILES); IPR035892 (SUPERFAMILY); IPR035892 (SUPERFAMILY); IPR035892 (SUPERFAMILY)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272881	transient receptor potential cation channel subfamily A member 1	3480	6	0.0	96.75	5	P:GO:0006811; P:GO:0055085; F:GO:0005216; F:GO:0005515; C:GO:0016020	P:monoatomic ion transport; P:transmembrane transport; F:monoatomic ion channel activity; F:protein binding; C:membrane			IPR002110 (PRINTS); IPR002110 (PFAM); IPR036770 (G3DSA:1.25.40.GENE3D); IPR002110 (PFAM); IPR005821 (PFAM); IPR002110 (PFAM); IPR036770 (G3DSA:1.25.40.GENE3D); IPR036770 (G3DSA:1.25.40.GENE3D); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR036770 (SUPERFAMILY); IPR036770 (SUPERFAMILY); IPR036770 (SUPERFAMILY)	P:GO:0006811; P:GO:0055085; F:GO:0005216; F:GO:0005515; C:GO:0016020	P:monoatomic ion transport; P:transmembrane transport; F:monoatomic ion channel activity; F:protein binding; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267692	probable 3',5'-cyclic phosphodiesterase pde-5	10242	4	3.74E-159	55.29	3	P:GO:0007165; F:GO:0004114; F:GO:0005515	P:signal transduction; F:3',5'-cyclic-nucleotide phosphodiesterase activity; F:protein binding			G3DSA:3.30.450.40:FF:000005 (FUNFAM); IPR003018 (PFAM); IPR029016 (G3DSA:3.30.450.GENE3D); IPR029016 (G3DSA:3.30.450.GENE3D); IPR029016 (G3DSA:3.30.450.GENE3D); IPR036971 (G3DSA:1.10.1300.GENE3D); PIRSR623088-3 (PIRSR); PIRSR623088-1 (PIRSR); IPR002073 (PROSITE_PROFILES); SSF55781 (SUPERFAMILY); SSF55781 (SUPERFAMILY); SSF55781 (SUPERFAMILY); SSF55781 (SUPERFAMILY); SSF55781 (SUPERFAMILY); SSF109604 (SUPERFAMILY); SSF55781 (SUPERFAMILY); SSF55781 (SUPERFAMILY)	P:GO:0007165; F:GO:0004114; F:GO:0005515	P:signal transduction; F:3',5'-cyclic-nucleotide phosphodiesterase activity; F:protein binding
true	[INTERPRO, BLASTED]	LOC126304244	uncharacterized protein LOC126304244	1188	5	1.41E-305	98.68						IPR035914 (G3DSA:2.60.120.GENE3D); IPR000859 (PFAM); IPR000859 (PROSITE_PROFILES); IPR035914 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126267722	prostaglandin E synthase 2 isoform X1	2373	10	1.04E-142	76.71						G3DSA:1.20.1050.10 (GENE3D); IPR034335 (CDD); IPR036282 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267740	valine--tRNA ligase-like isoform X1	3033	12	0.0	98.75	4	P:GO:0006438; F:GO:0002161; F:GO:0004832; F:GO:0005524	P:valyl-tRNA aminoacylation; F:aminoacyl-tRNA editing activity; F:valine-tRNA ligase activity; F:ATP binding			IPR002303 (PRINTS); G3DSA:3.90.740.10:FF:000005 (FUNFAM); G3DSA:3.40.50.620:FF:000020 (FUNFAM); G3DSA:3.40.50.620:FF:000078 (FUNFAM); IPR009008 (G3DSA:3.90.740.GENE3D); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002303 (NCBIFAM); IPR013155 (PFAM); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002300 (PFAM); G3DSA:1.10.730.10 (GENE3D); IPR002303 (HAMAP); IPR033705 (CDD); cd00817 (CDD); SSF52374 (SUPERFAMILY); IPR009008 (SUPERFAMILY); IPR009080 (SUPERFAMILY)	P:GO:0006418; P:GO:0006438; F:GO:0000166; F:GO:0002161; F:GO:0004812; F:GO:0004832; F:GO:0005524	P:tRNA aminoacylation for protein translation; P:valyl-tRNA aminoacylation; F:nucleotide binding; F:aminoacyl-tRNA editing activity; F:aminoacyl-tRNA ligase activity; F:valine-tRNA ligase activity; F:ATP binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126267750	protein masquerade	2202	6	0.0	96.88	2	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity			IPR001314 (PRINTS); G3DSA:2.40.10.10:FF:000082 (FUNFAM); IPR040479 (PFAM); IPR043504 (G3DSA:2.40.10.GENE3D); IPR001254 (PFAM); PIRSR001145-3 (PIRSR); PIRSR001149-4 (PIRSR); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)	P:GO:0006508; F:GO:0004252	P:proteolysis; F:serine-type endopeptidase activity
true	[INTERPRO, BLASTED, MAPPED]	LOC126267760	ER membrane protein complex subunit 1 isoform X1	5598	13	4.79E-174	63.12	4	C:GO:0005783; C:GO:0005789; C:GO:0016020; C:GO:0072546	C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane; C:EMC complex			IPR011678 (PFAM)	no GO terms	no GO terms
