Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124594699	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC124594699	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC124594699	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC124594702	odorant receptor Or2-like	C GO:0016020 membrane
LOC124594702	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC124594702	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC124594702	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC124594705	Down syndrome cell adhesion molecule-like protein Dscam2	F GO:0005515 protein binding
LOC124595678	gamma-interferon-inducible lysosomal thiol reductase-like	F GO:0016671 oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
LOC124594706	cytochrome P450 6k1-like	F GO:0004497 monooxygenase activity
LOC124594706	cytochrome P450 6k1-like	F GO:0005506 iron ion binding
LOC124594706	cytochrome P450 6k1-like	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124594706	cytochrome P450 6k1-like	F GO:0020037 heme binding
LOC124594708	PDF receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124594708	PDF receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124594708	PDF receptor-like	C GO:0016020 membrane
LOC124594708	PDF receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC124594709	PDF receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124594709	PDF receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124594709	PDF receptor-like	C GO:0016020 membrane
LOC124594709	PDF receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC124595302	PDF receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124595302	PDF receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124595302	PDF receptor-like	C GO:0016020 membrane
LOC124595302	PDF receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC124594710	uncharacterized protein LOC124594710	C GO:0016020 membrane
LOC124594710	uncharacterized protein LOC124594710	P GO:0050909 sensory perception of taste
LOC124594711	Down syndrome cell adhesion molecule-like protein 1 homolog	F GO:0005515 protein binding
LOC124594714	cilia- and flagella-associated protein 57	F GO:0005515 protein binding
LOC124594715	gustatory receptor for sugar taste 64e-like	C GO:0016020 membrane
LOC124594715	gustatory receptor for sugar taste 64e-like	F GO:0008527 taste receptor activity
LOC124594715	gustatory receptor for sugar taste 64e-like	P GO:0050912 detection of chemical stimulus involved in sensory perception of taste
LOC124596529	acetyl-CoA acetyltransferase, mitochondrial	F GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups
LOC124596530	uncharacterized protein LOC124596530	F GO:0022857 transmembrane transporter activity
LOC124596530	uncharacterized protein LOC124596530	P GO:0055085 transmembrane transport
LOC124594716	glypican-5-like	C GO:0005886 plasma membrane
LOC124594716	glypican-5-like	C GO:0062023 collagen-containing extracellular matrix
LOC124594716	glypican-5-like	P GO:0009966 regulation of signal transduction
LOC124596541	uncharacterized protein LOC124596541	F GO:0005515 protein binding
LOC124594720	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124594720	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124594720	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594720	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124594721	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124594721	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124594721	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594721	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124594722	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594723	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124595028	molybdenum cofactor biosynthesis protein 1-like isoform X2	C GO:0019008 obsolete molybdopterin synthase complex
LOC124595028	molybdenum cofactor biosynthesis protein 1-like isoform X2	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124595028	molybdenum cofactor biosynthesis protein 1-like isoform X2	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594724	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124594724	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124594724	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594724	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124594725	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594727	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594728	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124594730	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605156	uncharacterized protein LOC124581878	F GO:0003676 nucleic acid binding
LOC124605156	uncharacterized protein LOC124581878	F GO:0008270 zinc ion binding
LOC124605746	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124605746	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124605746	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605160	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605161	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124605161	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124605161	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605161	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124605165	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605170	uncharacterized protein LOC124605170	F GO:0003824 catalytic activity
LOC124605170	uncharacterized protein LOC124605170	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124605170	uncharacterized protein LOC124605170	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605170	uncharacterized protein LOC124605170	C GO:0019008 obsolete molybdopterin synthase complex
LOC124605178	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124605178	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124605178	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605178	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124605196	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605200	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605201	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124605201	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124605201	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605201	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124605208	cyclic pyranopterin monophosphate synthase-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124605265	uncharacterized protein LOC124605265	F GO:0005515 protein binding
LOC124607085	uncharacterized protein LOC124607085 isoform X1	F GO:0008270 zinc ion binding
LOC124605234	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124605234	trypsin alpha-like	P GO:0006508 proteolysis
LOC124605242	transient receptor potential-gamma protein-like	F GO:0005515 protein binding
LOC124605243	transient receptor potential-gamma protein-like	C GO:0016020 membrane
LOC124605243	transient receptor potential-gamma protein-like	F GO:0005216 monoatomic ion channel activity
LOC124605243	transient receptor potential-gamma protein-like	P GO:0006811 monoatomic ion transport
LOC124605243	transient receptor potential-gamma protein-like	P GO:0055085 transmembrane transport
LOC124606996	RNA-binding protein 34 isoform X2	F GO:0003723 RNA binding
LOC124605336	suppressor of cytokine signaling 6-like	P GO:0035556 intracellular signal transduction
LOC124605305	F-actin-uncapping protein LRRC16A	F GO:0005515 protein binding
LOC124605858	GTP-binding protein GEM-like	F GO:0003924 GTPase activity
LOC124605858	GTP-binding protein GEM-like	F GO:0005525 GTP binding
LOC124605285	alanine aminotransferase 1-like	F GO:0030170 pyridoxal phosphate binding
LOC124605285	alanine aminotransferase 1-like	P GO:0009058 biosynthetic process
LOC124605505	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	F GO:0003676 nucleic acid binding
LOC124605505	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	F GO:0005524 ATP binding
LOC124605866	longitudinals lacking protein-like	F GO:0005515 protein binding
LOC124605880	uncharacterized protein LOC124605880	F GO:0008270 zinc ion binding
LOC124605891	uncharacterized protein LOC124605891	P GO:0009190 cyclic nucleotide biosynthetic process
LOC124605891	uncharacterized protein LOC124605891	P GO:0035556 intracellular signal transduction
LOC124605693	troponin C-like	F GO:0005509 calcium ion binding
LOC124605255	calmodulin-like protein 12	F GO:0005509 calcium ion binding
LOC124606958	calcitonin gene-related peptide type 1 receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124606958	calcitonin gene-related peptide type 1 receptor-like	F GO:0004948 calcitonin receptor activity
LOC124606958	calcitonin gene-related peptide type 1 receptor-like	C GO:0016020 membrane
LOC124606958	calcitonin gene-related peptide type 1 receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC124605564	uncharacterized protein LOC124605564	P GO:0030431 sleep
LOC124605564	uncharacterized protein LOC124605564	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124605564	uncharacterized protein LOC124605564	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124607185	nuclear pore complex protein Nup50	C GO:0005643 nuclear pore
LOC124607185	nuclear pore complex protein Nup50	P GO:0046907 intracellular transport
LOC124607362	uncharacterized protein LOC124607362	F GO:0046872 metal ion binding
LOC124605895	gamma-aminobutyric acid receptor alpha-like	P GO:0034220 monoatomic ion transmembrane transport
LOC124605895	gamma-aminobutyric acid receptor alpha-like	C GO:0016020 membrane
LOC124605895	gamma-aminobutyric acid receptor alpha-like	F GO:0004890 GABA-A receptor activity
LOC124605895	gamma-aminobutyric acid receptor alpha-like	F GO:0005230 extracellular ligand-gated monoatomic ion channel activity
LOC124605467	hypothetical protein PR048_000085	F GO:0019904 protein domain specific binding
LOC124606838	glucose-fructose oxidoreductase domain-containing protein 1 isoform X1	F GO:0000166 nucleotide binding
LOC124605788	probable tyrosyl-DNA phosphodiesterase isoform X1	C GO:0005634 nucleus
LOC124605788	probable tyrosyl-DNA phosphodiesterase isoform X1	F GO:0008081 phosphoric diester hydrolase activity
LOC124605788	probable tyrosyl-DNA phosphodiesterase isoform X1	P GO:0006281 DNA repair
LOC124606768	inositol hexakisphosphate kinase 1-like	F GO:0016301 kinase activity
LOC124606768	inositol hexakisphosphate kinase 1-like	P GO:0032958 inositol phosphate biosynthetic process
LOC124605538	protein extra-macrochaetae-like	F GO:0046983 protein dimerization activity
LOC124605551	protein extra-macrochaetae-like	F GO:0046983 protein dimerization activity
LOC124605225	unnamed protein product	F GO:0005524 ATP binding
LOC124605225	unnamed protein product	P GO:0006468 protein phosphorylation
LOC124605225	unnamed protein product	F GO:0004674 protein serine/threonine kinase activity
LOC124605851	leucine-rich repeat-containing protein 38-like	F GO:0005515 protein binding
LOC124607285	protein slit-like	F GO:0005515 protein binding
LOC124605260	epidermal growth factor receptor substrate 15-like 1 isoform X2	F GO:0005509 calcium ion binding
LOC124605260	epidermal growth factor receptor substrate 15-like 1 isoform X2	F GO:0005515 protein binding
LOC124605643	type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	F GO:0034597 phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity
LOC124605643	type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	P GO:0046856 phosphatidylinositol dephosphorylation
LOC124607257	tubulin polymerization-promoting protein homolog	F GO:0015631 tubulin binding
LOC124607257	tubulin polymerization-promoting protein homolog	P GO:0046785 microtubule polymerization
LOC124605752	tubulin polymerization-promoting protein homolog	F GO:0015631 tubulin binding
LOC124605752	tubulin polymerization-promoting protein homolog	P GO:0046785 microtubule polymerization
LOC124606906	WW domain-binding protein 11	P GO:0006396 RNA processing
LOC124605909	CLIP domain-containing serine protease 14D-like	F GO:0004252 serine-type endopeptidase activity
LOC124605909	CLIP domain-containing serine protease 14D-like	P GO:0006508 proteolysis
LOC124607322	SF3B3	F GO:0005515 protein binding
LOC124605805	cytochrome b-c1 complex subunit 8 isoform X1	C GO:0005750 obsolete mitochondrial respiratory chain complex III
LOC124605805	cytochrome b-c1 complex subunit 8 isoform X1	P GO:0006122 mitochondrial electron transport, ubiquinol to cytochrome c
LOC124605912	uncharacterized protein LOC124605912	F GO:0003677 DNA binding
LOC124605912	uncharacterized protein LOC124605912	P GO:0006313 DNA transposition
LOC124605912	uncharacterized protein LOC124605912	P GO:0015074 DNA integration
LOC124605565	RNA-binding region-containing protein 3-like	F GO:0003723 RNA binding
LOC124605565	RNA-binding region-containing protein 3-like	F GO:0005515 protein binding
LOC124605913	UDP-glycosyltransferase UGT5-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605617	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605914	UDP-glucuronosyltransferase 2B31-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124607008	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124606940	UDP-glucosyltransferase 2-like isoform X1	F GO:0008194 UDP-glycosyltransferase activity
LOC124605829	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605915	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124607187	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124606333	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605666	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605919	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124605920	UDP-glycosyltransferase UGT5-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124606856	protein scarlet-like	C GO:0016020 membrane
LOC124606856	protein scarlet-like	F GO:0005524 ATP binding
LOC124606856	protein scarlet-like	F GO:0016887 ATP hydrolysis activity
LOC124606856	protein scarlet-like	F GO:0140359 ABC-type transporter activity
LOC124607157	40S ribosomal protein S2	F GO:0003723 RNA binding
LOC124607157	40S ribosomal protein S2	F GO:0003735 structural constituent of ribosome
LOC124607157	40S ribosomal protein S2	C GO:0015935 small ribosomal subunit
LOC124607157	40S ribosomal protein S2	P GO:0006412 translation
LOC124605583	mitochondrial translation release factor in rescue	F GO:0003747 translation release factor activity
LOC124605583	mitochondrial translation release factor in rescue	P GO:0006415 translational termination
LOC124605471	CDK11B, partial	F GO:0004672 protein kinase activity
LOC124605471	CDK11B, partial	F GO:0005524 ATP binding
LOC124605471	CDK11B, partial	P GO:0006468 protein phosphorylation
LOC124607372	pigment-dispersing hormone peptides	C GO:0005576 extracellular region
LOC124607372	pigment-dispersing hormone peptides	F GO:0005179 hormone activity
LOC124607372	pigment-dispersing hormone peptides	P GO:0009416 response to light stimulus
LOC124605923	trypsin-6-like	F GO:0004252 serine-type endopeptidase activity
LOC124605923	trypsin-6-like	P GO:0006508 proteolysis
LOC124605926	probable chitinase 10	C GO:0005576 extracellular region
LOC124605926	probable chitinase 10	F GO:0008061 chitin binding
LOC124605926	probable chitinase 10	P GO:0005975 carbohydrate metabolic process
LOC124607492	solute carrier family 2, facilitated glucose transporter member 1-like isoform X4	C GO:0016020 membrane
LOC124607492	solute carrier family 2, facilitated glucose transporter member 1-like isoform X4	F GO:0022857 transmembrane transporter activity
LOC124607492	solute carrier family 2, facilitated glucose transporter member 1-like isoform X4	P GO:0055085 transmembrane transport
LOC124605789	rRNA N6-adenosine-methyltransferase ZCCHC4	F GO:0003676 nucleic acid binding
LOC124605789	rRNA N6-adenosine-methyltransferase ZCCHC4	F GO:0008168 methyltransferase activity
LOC124605789	rRNA N6-adenosine-methyltransferase ZCCHC4	F GO:0008270 zinc ion binding
LOC124607338	opsin-2 isoform X1	C GO:0016020 membrane
LOC124607338	opsin-2 isoform X1	F GO:0004930 G protein-coupled receptor activity
LOC124607338	opsin-2 isoform X1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124607516	PTPRQ	F GO:0005515 protein binding
LOC124607306	phospholipase A1-like isoform X1	F GO:0016298 lipase activity
LOC124607131	phospholipase A1-like	F GO:0016298 lipase activity
LOC124607131	phospholipase A1-like	P GO:0006629 lipid metabolic process
LOC124605316	eukaryotic translation initiation factor 3 subunit A	C GO:0005852 eukaryotic translation initiation factor 3 complex
LOC124605930	mucin-17-like	F GO:0046983 protein dimerization activity
LOC124605198	tetratricopeptide repeat protein 36	F GO:0005515 protein binding
LOC124607481	translocation protein SEC62	C GO:0005789 endoplasmic reticulum membrane
LOC124607481	translocation protein SEC62	P GO:0015031 protein transport
LOC124607478	hypothetical protein PYW07_004796	F GO:0004641 phosphoribosylformylglycinamidine cyclo-ligase activity
LOC124607478	hypothetical protein PYW07_004796	P GO:0006189 'de novo' IMP biosynthetic process
LOC124607088	NADPH-dependent diflavin oxidoreductase 1 isoform X1	F GO:0010181 FMN binding
LOC124605834	26S proteasome regulatory subunit 8	F GO:0005524 ATP binding
LOC124605834	26S proteasome regulatory subunit 8	F GO:0016887 ATP hydrolysis activity
LOC124605833	DNA endonuclease RBBP8-like	P GO:0006281 DNA repair
LOC124605932	uncharacterized protein LOC124605932	C GO:0016020 membrane
LOC124605932	uncharacterized protein LOC124605932	F GO:0004984 olfactory receptor activity
LOC124605932	uncharacterized protein LOC124605932	F GO:0005549 odorant binding
LOC124605932	uncharacterized protein LOC124605932	P GO:0007608 sensory perception of smell
LOC124605103	hemocytin	C GO:0005576 extracellular region
LOC124605103	hemocytin	F GO:0005515 protein binding
LOC124605103	hemocytin	F GO:0008061 chitin binding
LOC124605935	ataxin-1-like, partial	F GO:0003723 RNA binding
LOC124605935	ataxin-1-like, partial	F GO:0005515 protein binding
LOC124605141	serine/threonine-protein kinase SMG1	F GO:0004674 protein serine/threonine kinase activity
LOC124605141	serine/threonine-protein kinase SMG1	F GO:0005515 protein binding
LOC124605141	serine/threonine-protein kinase SMG1	P GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
LOC124605141	serine/threonine-protein kinase SMG1	P GO:0016310 phosphorylation
LOC124605142	octopamine receptor 1-like	C GO:0016020 membrane
LOC124605142	octopamine receptor 1-like	F GO:0004930 G protein-coupled receptor activity
LOC124605142	octopamine receptor 1-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124605257	kinesin heavy chain	F GO:0003777 microtubule motor activity
LOC124605257	kinesin heavy chain	F GO:0005524 ATP binding
LOC124605257	kinesin heavy chain	F GO:0008017 microtubule binding
LOC124605257	kinesin heavy chain	P GO:0007018 microtubule-based movement
LOC124605916	calcium/calmodulin-dependent protein kinase cmkB-like isoform X1	F GO:0004672 protein kinase activity
LOC124605916	calcium/calmodulin-dependent protein kinase cmkB-like isoform X1	F GO:0005524 ATP binding
LOC124605916	calcium/calmodulin-dependent protein kinase cmkB-like isoform X1	P GO:0006468 protein phosphorylation
LOC124605630	lysophosphatidylcholine acyltransferase isoform X2	C GO:0016020 membrane
LOC124605630	lysophosphatidylcholine acyltransferase isoform X2	F GO:0016746 acyltransferase activity
LOC124605938	E3 ubiquitin-protein ligase RNF144A isoform X1	F GO:0008270 zinc ion binding
LOC124605940	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124605940	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124605940	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
LOC124605941	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124605941	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124605941	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
LOC124605942	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124605942	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124605942	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
LOC124605943	beta-alanine transporter-like	C GO:0016020 membrane
LOC124605943	beta-alanine transporter-like	F GO:0022857 transmembrane transporter activity
LOC124605943	beta-alanine transporter-like	P GO:0055085 transmembrane transport
LOC124605753	alanine aminotransferase 1-like	F GO:0030170 pyridoxal phosphate binding
LOC124605753	alanine aminotransferase 1-like	P GO:0009058 biosynthetic process
LOC124606823	S-phase kinase-associated protein 1	P GO:0006511 ubiquitin-dependent protein catabolic process
LOC124605946	sodium-dependent neutral amino acid transporter B(0)AT3	C GO:0016020 membrane
LOC124605522	E3 UFM1-protein ligase 1 homolog	F GO:0061666 UFM1 ligase activity
LOC124605522	E3 UFM1-protein ligase 1 homolog	P GO:0071569 protein ufmylation
LOC124605473	mismatch repair endonuclease PMS2 isoform X2	F GO:0005524 ATP binding
LOC124605473	mismatch repair endonuclease PMS2 isoform X2	F GO:0030983 mismatched DNA binding
LOC124605473	mismatch repair endonuclease PMS2 isoform X2	P GO:0006298 mismatch repair
LOC124607377	uncharacterized protein LOC124607377	F GO:0005515 protein binding
LOC124605949	toll-like receptor 2	F GO:0005515 protein binding
LOC124605949	toll-like receptor 2	P GO:0007165 signal transduction
LOC124605950	facilitated trehalose transporter Tret1-like, partial	C GO:0016020 membrane
LOC124605950	facilitated trehalose transporter Tret1-like, partial	F GO:0022857 transmembrane transporter activity
LOC124605950	facilitated trehalose transporter Tret1-like, partial	P GO:0055085 transmembrane transport
LOC124605680	facilitated trehalose transporter Tret1-like	C GO:0016020 membrane
LOC124605680	facilitated trehalose transporter Tret1-like	F GO:0022857 transmembrane transporter activity
LOC124605680	facilitated trehalose transporter Tret1-like	P GO:0055085 transmembrane transport
LOC124605951	facilitated trehalose transporter Tret1-like	C GO:0016020 membrane
LOC124605951	facilitated trehalose transporter Tret1-like	F GO:0022857 transmembrane transporter activity
LOC124605951	facilitated trehalose transporter Tret1-like	P GO:0055085 transmembrane transport
LOC124607029	charged multivesicular body protein 3	P GO:0007034 vacuolar transport
LOC124605262	sideroflexin-1	C GO:0016020 membrane
LOC124605262	sideroflexin-1	F GO:0015075 monoatomic ion transmembrane transporter activity
LOC124605262	sideroflexin-1	P GO:0006811 monoatomic ion transport
LOC124605262	sideroflexin-1	P GO:0055085 transmembrane transport
LOC124606649	ATP-dependent RNA helicase SUV3 homolog, mitochondrial isoform X2	F GO:0003824 catalytic activity
LOC124605481	spondin-1	F GO:0004867 serine-type endopeptidase inhibitor activity
LOC124605514	origin recognition complex subunit 2 isoform X1	C GO:0005664 nuclear origin of replication recognition complex
LOC124605514	origin recognition complex subunit 2 isoform X1	F GO:0003688 DNA replication origin binding
LOC124605514	origin recognition complex subunit 2 isoform X1	P GO:0006260 DNA replication
LOC124606833	39S ribosomal protein L52, mitochondrial	C GO:0005762 mitochondrial large ribosomal subunit
LOC124606833	39S ribosomal protein L52, mitochondrial	F GO:0003735 structural constituent of ribosome
LOC124606833	39S ribosomal protein L52, mitochondrial	P GO:0032543 mitochondrial translation
LOC124605279	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X1	F GO:0008173 RNA methyltransferase activity
LOC124605279	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X1	P GO:0001510 RNA methylation
LOC124605784	chitinase domain-containing protein 1	P GO:0005975 carbohydrate metabolic process
LOC124605836	acyl-CoA-binding protein-like	F GO:0000062 fatty-acyl-CoA binding
LOC124606994	acyl-CoA-binding protein homolog	F GO:0000062 fatty-acyl-CoA binding
LOC124606919	Bardet-Biedl syndrome 1 protein homolog	F GO:0005515 protein binding
LOC124605957	proto-oncogene tyrosine-protein kinase receptor Ret-like	F GO:0004672 protein kinase activity
LOC124605957	proto-oncogene tyrosine-protein kinase receptor Ret-like	F GO:0005524 ATP binding
LOC124605957	proto-oncogene tyrosine-protein kinase receptor Ret-like	P GO:0006468 protein phosphorylation
LOC124606959	nucleolar protein 14 homolog	C GO:0032040 small-subunit processome
LOC124605381	uncharacterized protein LOC124605381	F GO:0005515 protein binding
LOC124605444	nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 isoform X1	F GO:0003824 catalytic activity
LOC124605444	nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 isoform X1	P GO:0009058 biosynthetic process
LOC124606636	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	P GO:0006508 proteolysis
LOC124606636	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	F GO:0004222 metalloendopeptidase activity
LOC124605438	RNA polymerase II-associated protein 3 isoform X1	F GO:0005515 protein binding
LOC124605859	calcium-independent phospholipase A2-gamma-like isoform X1	P GO:0006629 lipid metabolic process
LOC124606820	ion transport peptide isoform X2	C GO:0005576 extracellular region
LOC124606820	ion transport peptide isoform X2	F GO:0005184 neuropeptide hormone activity
LOC124605679	putative aldehyde dehydrogenase DhaS	F GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
LOC124605547	equilibrative nucleoside transporter 1	C GO:0016020 membrane
LOC124605547	equilibrative nucleoside transporter 1	F GO:0005337 nucleoside transmembrane transporter activity
LOC124605547	equilibrative nucleoside transporter 1	P GO:1901642 nucleoside transmembrane transport
LOC124606977	transmembrane protein 19 isoform X1	C GO:0016020 membrane
LOC124606705	methanethiol oxidase-like	F GO:0008430 selenium binding
LOC124605962	methanethiol oxidase-like	F GO:0008430 selenium binding
LOC124605176	ADP-ribosylation factor-like protein 4C	F GO:0003924 GTPase activity
LOC124605176	ADP-ribosylation factor-like protein 4C	F GO:0005525 GTP binding
LOC124605963	leucine-rich repeat-containing protein 23-like	F GO:0005515 protein binding
LOC124607039	E3 ubiquitin-protein ligase HECW2-like	F GO:0004842 ubiquitin-protein transferase activity
LOC124607039	E3 ubiquitin-protein ligase HECW2-like	F GO:0005515 protein binding
LOC124605441	RNA polymerase II-associated factor 1 homolog	C GO:0016593 Cdc73/Paf1 complex
LOC124605441	RNA polymerase II-associated factor 1 homolog	P GO:0006368 transcription elongation by RNA polymerase II
LOC124605968	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124605968	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124605968	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
LOC124605969	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124605969	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124605969	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
