Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126272772	40S ribosomal protein S15Aa	P GO:0006412 translation
LOC126272767	transient receptor potential cation channel subfamily A member 1-like	C GO:0016020 membrane
LOC126272767	transient receptor potential cation channel subfamily A member 1-like	F GO:0005216 monoatomic ion channel activity
LOC126272767	transient receptor potential cation channel subfamily A member 1-like	F GO:0005515 protein binding
LOC126272767	transient receptor potential cation channel subfamily A member 1-like	P GO:0006811 monoatomic ion transport
LOC126272767	transient receptor potential cation channel subfamily A member 1-like	P GO:0055085 transmembrane transport
LOC126272780	protein sidekick	F GO:0005515 protein binding
LOC126272806	nucleosome-remodeling factor subunit NURF301	C GO:0016589 NURF complex
LOC126272806	nucleosome-remodeling factor subunit NURF301	F GO:0046872 metal ion binding
LOC126272806	nucleosome-remodeling factor subunit NURF301	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126272840	4-aminobutyrate aminotransferase, mitochondrial	F GO:0030170 pyridoxal phosphate binding
LOC126272840	4-aminobutyrate aminotransferase, mitochondrial	F GO:0003867 obsolete 4-aminobutyrate transaminase activity
LOC126272840	4-aminobutyrate aminotransferase, mitochondrial	P GO:0009448 gamma-aminobutyric acid metabolic process
LOC126272865	SUMO-conjugating enzyme UBC9-B	C GO:0005840 ribosome
LOC126272865	SUMO-conjugating enzyme UBC9-B	C GO:0016020 membrane
LOC126272865	SUMO-conjugating enzyme UBC9-B	C GO:1990904 ribonucleoprotein complex
LOC126272865	SUMO-conjugating enzyme UBC9-B	F GO:0003735 structural constituent of ribosome
LOC126272865	SUMO-conjugating enzyme UBC9-B	F GO:0005524 ATP binding
LOC126272865	SUMO-conjugating enzyme UBC9-B	F GO:0016740 transferase activity
LOC126272865	SUMO-conjugating enzyme UBC9-B	F GO:0016874 ligase activity
LOC126272865	SUMO-conjugating enzyme UBC9-B	P GO:0006412 translation
LOC126272872	notchless protein homolog 1	F GO:0005515 protein binding
LOC126272879	exportin-6-B isoform X3	C GO:0005634 nucleus
LOC126272879	exportin-6-B isoform X3	C GO:0005737 cytoplasm
LOC126272879	exportin-6-B isoform X3	F GO:0005049 nuclear export signal receptor activity
LOC126272879	exportin-6-B isoform X3	F GO:0031267 small GTPase binding
LOC126272879	exportin-6-B isoform X3	P GO:0006611 protein export from nucleus
LOC126272887	synergin gamma-like isoform X1	F GO:0005515 protein binding
LOC126272906	sodium-dependent serotonin transporter	C GO:0016020 membrane
LOC126272913	serine protease nudel-like isoform X2	F GO:0005515 protein binding
LOC126272936	nucleoside diphosphate kinase 7 isoform X2	F GO:0004550 nucleoside diphosphate kinase activity
LOC126272936	nucleoside diphosphate kinase 7 isoform X2	P GO:0006183 GTP biosynthetic process
LOC126272936	nucleoside diphosphate kinase 7 isoform X2	P GO:0006228 UTP biosynthetic process
LOC126272936	nucleoside diphosphate kinase 7 isoform X2	P GO:0006241 CTP biosynthetic process
LOC126307306	dynein assembly factor with WDR repeat domains 1	F GO:0005515 protein binding
LOC126307472	WD repeat-containing protein 73-like isoform X2	F GO:0005515 protein binding
LOC126272961	uncharacterized protein LOC126272961	P GO:0006955 immune response
LOC126272961	uncharacterized protein LOC126272961	C GO:0016020 membrane
LOC126272961	uncharacterized protein LOC126272961	F GO:0005164 tumor necrosis factor receptor binding
LOC126273067	neuropeptide-like precursor	F GO:0017128 phospholipid scramblase activity
LOC126273067	neuropeptide-like precursor	P GO:0017121 plasma membrane phospholipid scrambling
LOC126278700	uncharacterized protein LOC126278700	F GO:0005515 protein binding
LOC126273100	Deoxyribodipyrimidine photo-lyase	F GO:0016829 lyase activity
LOC126273200	cGMP-dependent protein kinase, isozyme 1-like isoform X1	F GO:0016301 kinase activity
LOC126273223	CUE domain-containing protein 1	F GO:0043130 ubiquitin binding
LOC126279474	pickpocket protein 28-like	C GO:0016020 membrane
LOC126279474	pickpocket protein 28-like	F GO:0005272 sodium channel activity
LOC126279474	pickpocket protein 28-like	P GO:0006814 sodium ion transport
LOC126273263	probable GPI-anchored adhesin-like protein PGA55 isoform X1	F GO:0005515 protein binding
LOC126279945	uncharacterized protein LOC126279945	F GO:0004252 serine-type endopeptidase activity
LOC126279945	uncharacterized protein LOC126279945	P GO:0006508 proteolysis
LOC126307850	sterile alpha motif domain-containing protein 5-like isoform X1	F GO:0005515 protein binding
LOC126273387	serine protease svh-1-like isoform X1	C GO:0005576 extracellular region
LOC126273387	serine protease svh-1-like isoform X1	C GO:0016020 membrane
LOC126273387	serine protease svh-1-like isoform X1	F GO:0008061 chitin binding
LOC126273542	ferritin heavy chain	F GO:0008199 ferric iron binding
LOC126273526	ferritin subunit	F GO:0008199 ferric iron binding
LOC126273626	GPI mannosyltransferase 3	F GO:0016757 glycosyltransferase activity
LOC126273642	general transcription factor IIH subunit 4	C GO:0000439 transcription factor TFIIH core complex
LOC126273642	general transcription factor IIH subunit 4	F GO:0001671 ATPase activator activity
LOC126273642	general transcription factor IIH subunit 4	P GO:0006289 nucleotide-excision repair
LOC126273600	uncharacterized protein LOC126273600	F GO:0003676 nucleic acid binding
LOC126273600	uncharacterized protein LOC126273600	F GO:0008270 zinc ion binding
LOC126273757	G-protein coupled receptor Mth2-like isoform X1	C GO:0016020 membrane
LOC126273757	G-protein coupled receptor Mth2-like isoform X1	F GO:0004930 G protein-coupled receptor activity
LOC126273757	G-protein coupled receptor Mth2-like isoform X1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126273784	uncharacterized protein LOC126273784	F GO:0004623 phospholipase A2 activity
LOC126273784	uncharacterized protein LOC126273784	P GO:0006644 phospholipid metabolic process
LOC126273784	uncharacterized protein LOC126273784	P GO:0050482 arachidonate secretion
LOC126273800	amyloid protein-binding protein 2	F GO:0005515 protein binding
LOC126273863	uncharacterized protein LOC126273863	F GO:0046872 metal ion binding
LOC126273901	eIF-2-alpha kinase activator GCN1	F GO:0005515 protein binding
LOC126273974	3-hydroxyisobutyrate dehydrogenase, mitochondrial	F GO:0050661 NADP binding
LOC126273974	3-hydroxyisobutyrate dehydrogenase, mitochondrial	F GO:0051287 NAD binding
LOC126274026	venom serine protease-like	F GO:0004252 serine-type endopeptidase activity
LOC126274026	venom serine protease-like	P GO:0006508 proteolysis
LOC126274083	protocadherin-like wing polarity protein stan	C GO:0016020 membrane
LOC126274083	protocadherin-like wing polarity protein stan	F GO:0005509 calcium ion binding
LOC126274083	protocadherin-like wing polarity protein stan	P GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules
LOC126274109	calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X1	F GO:0016887 ATP hydrolysis activity
LOC126274109	calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X1	F GO:0005524 ATP binding
LOC126274109	calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X1	C GO:0016020 membrane
LOC126274109	calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X1	F GO:0005215 transporter activity
LOC126274332	pre-piRNA 3'-exonuclease trimmer-like	F GO:0003676 nucleic acid binding
LOC126274348	transcription elongation factor 1 homolog	C GO:0005634 nucleus
LOC126274348	transcription elongation factor 1 homolog	F GO:0003746 translation elongation factor activity
LOC126274348	transcription elongation factor 1 homolog	F GO:0046872 metal ion binding
LOC126274348	transcription elongation factor 1 homolog	P GO:0006414 translational elongation
LOC126280670	uncharacterized protein LOC126280670	F GO:0005515 protein binding
LOC126280827	LOW QUALITY PROTEIN: uncharacterized protein LOC126280827	C GO:0016020 membrane
LOC126280827	LOW QUALITY PROTEIN: uncharacterized protein LOC126280827	F GO:0004930 G protein-coupled receptor activity
LOC126280827	LOW QUALITY PROTEIN: uncharacterized protein LOC126280827	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126280985	E3 ubiquitin-protein ligase MARCHF3-like	F GO:0008270 zinc ion binding
LOC126274593	ATP-binding cassette sub-family C member 5-like	C GO:0016020 membrane
LOC126274593	ATP-binding cassette sub-family C member 5-like	F GO:0005524 ATP binding
LOC126274593	ATP-binding cassette sub-family C member 5-like	F GO:0016887 ATP hydrolysis activity
LOC126274593	ATP-binding cassette sub-family C member 5-like	F GO:0140359 ABC-type transporter activity
LOC126274593	ATP-binding cassette sub-family C member 5-like	P GO:0055085 transmembrane transport
LOC126274609	superoxide dismutase [Cu-Zn]-like	F GO:0046872 metal ion binding
LOC126274609	superoxide dismutase [Cu-Zn]-like	P GO:0006801 superoxide metabolic process
LOC126274625	Superoxide dismutase [Cu-Zn]	F GO:0046872 metal ion binding
LOC126274625	Superoxide dismutase [Cu-Zn]	P GO:0006801 superoxide metabolic process
LOC126274687	CD63 antigen-like	C GO:0016020 membrane
LOC126274671	tetraspanin-6-like isoform X1	C GO:0016020 membrane
LOC126274730	CD63 antigen-like	C GO:0016020 membrane
LOC126274746	23 kDa integral membrane protein-like	C GO:0016020 membrane
LOC126274762	leukocyte surface antigen CD53-like	C GO:0016020 membrane
LOC126274788	23 kDa integral membrane protein-like	C GO:0016020 membrane
LOC126274804	uncharacterized protein LOC126274804	C GO:0016020 membrane
LOC126281207	craniofacial development protein 2-like	F GO:0003824 catalytic activity
LOC126274857	E3 ubiquitin-protein ligase RNF34	C GO:0005886 plasma membrane
LOC126274857	E3 ubiquitin-protein ligase RNF34	F GO:0046872 metal ion binding
LOC126274857	E3 ubiquitin-protein ligase RNF34	P GO:0006915 apoptotic process
LOC126274965	ester hydrolase C11orf54 homolog	C GO:0005634 nucleus
LOC126275021	GATOR complex protein Iml1 isoform X4	F GO:0005096 GTPase activator activity
LOC126275021	GATOR complex protein Iml1 isoform X4	P GO:0035556 intracellular signal transduction
LOC126353427	glutamate receptor ionotropic, NMDA 3B-like	C GO:0016020 membrane
LOC126353427	glutamate receptor ionotropic, NMDA 3B-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126275143	nephrin-like	F GO:0005515 protein binding
LOC126275159	DNA-directed RNA polymerase I subunit RPA1	F GO:0003677 DNA binding
LOC126275159	DNA-directed RNA polymerase I subunit RPA1	F GO:0003899 DNA-directed 5'-3' RNA polymerase activity
LOC126275159	DNA-directed RNA polymerase I subunit RPA1	P GO:0006351 DNA-templated transcription
LOC126275201	neural cell adhesion molecule 2-like	F GO:0005515 protein binding
LOC126275217	discoidin domain-containing receptor 2-like isoform X1	F GO:0004672 protein kinase activity
LOC126275217	discoidin domain-containing receptor 2-like isoform X1	F GO:0005524 ATP binding
LOC126275217	discoidin domain-containing receptor 2-like isoform X1	P GO:0006468 protein phosphorylation
LOC126275253	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0004672 protein kinase activity
LOC126275253	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0005524 ATP binding
LOC126275253	discoidin domain-containing receptor tyrosine kinase B-like	P GO:0006468 protein phosphorylation
LOC126309833	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0004672 protein kinase activity
LOC126309833	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0005524 ATP binding
LOC126309833	discoidin domain-containing receptor tyrosine kinase B-like	P GO:0006468 protein phosphorylation
LOC126275296	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0004672 protein kinase activity
LOC126275296	discoidin domain-containing receptor tyrosine kinase B-like	F GO:0005524 ATP binding
LOC126275296	discoidin domain-containing receptor tyrosine kinase B-like	P GO:0006468 protein phosphorylation
LOC126275338	sulfhydryl oxidase 1-like	F GO:0016972 thiol oxidase activity
LOC126282055	tigger transposable element-derived protein 6-like	F GO:0003676 nucleic acid binding
LOC126275354	large proline-rich protein BAG6 isoform X1	C GO:0005576 extracellular region
LOC126275354	large proline-rich protein BAG6 isoform X1	C GO:0005634 nucleus
LOC126275354	large proline-rich protein BAG6 isoform X1	C GO:0005829 cytosol
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0002376 immune system process
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0006325 chromatin organization
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0006915 apoptotic process
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0007283 spermatogenesis
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0008152 metabolic process
LOC126275354	large proline-rich protein BAG6 isoform X1	P GO:0030154 cell differentiation
LOC126275497	leucine-rich repeat and death domain-containing protein 1	F GO:0005515 protein binding
LOC126275560	LIM/homeobox protein Awh isoform X1	C GO:0005634 nucleus
LOC126275560	LIM/homeobox protein Awh isoform X1	F GO:0003677 DNA binding
LOC126275560	LIM/homeobox protein Awh isoform X1	F GO:0046872 metal ion binding
LOC126275587	splicing regulatory glutamine/lysine-rich protein 1	F GO:0003723 RNA binding
LOC126275675	ribonuclease H2 subunit A isoform X1	F GO:0003676 nucleic acid binding
LOC126275675	ribonuclease H2 subunit A isoform X1	F GO:0004523 RNA-DNA hybrid ribonuclease activity
LOC126275675	ribonuclease H2 subunit A isoform X1	P GO:0016070 RNA metabolic process
LOC126275748	60S ribosomal protein L26	C GO:0015934 large ribosomal subunit
LOC126275748	60S ribosomal protein L26	F GO:0003723 RNA binding
LOC126275748	60S ribosomal protein L26	F GO:0003735 structural constituent of ribosome
LOC126275748	60S ribosomal protein L26	P GO:0006412 translation
LOC126275659	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	F GO:0016627 oxidoreductase activity, acting on the CH-CH group of donors
LOC126275659	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	F GO:0050660 flavin adenine dinucleotide binding
LOC126275603	cytosolic purine 5'-nucleotidase-like	C GO:0016020 membrane
LOC126275603	cytosolic purine 5'-nucleotidase-like	F GO:0016787 hydrolase activity
LOC126275603	cytosolic purine 5'-nucleotidase-like	F GO:0046872 metal ion binding
LOC126275984	uncharacterized protein LOC126275984	P GO:0006470 protein dephosphorylation
LOC126276001	fibroblast growth factor 8	F GO:0008083 growth factor activity
LOC126282199	transcription factor collier	F GO:0003677 DNA binding
LOC126282199	transcription factor collier	F GO:0003700 DNA-binding transcription factor activity
LOC126282199	transcription factor collier	P GO:0006355 regulation of DNA-templated transcription
LOC126276044	nuclear receptor-binding factor 2-like isoform X1	P GO:0006914 autophagy
LOC126276092	RecName: Full=Putative tyramine receptor 2; AltName: Full=Tyr-Loc2	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126276092	RecName: Full=Putative tyramine receptor 2; AltName: Full=Tyr-Loc2	F GO:0004989 octopamine receptor activity
LOC126276092	RecName: Full=Putative tyramine receptor 2; AltName: Full=Tyr-Loc2	C GO:0016020 membrane
LOC126276148	delta-1-pyrroline-5-carboxylate synthase	F GO:0005524 ATP binding
LOC126276148	delta-1-pyrroline-5-carboxylate synthase	C GO:0005737 cytoplasm
LOC126276148	delta-1-pyrroline-5-carboxylate synthase	F GO:0004350 glutamate-5-semialdehyde dehydrogenase activity
LOC126276148	delta-1-pyrroline-5-carboxylate synthase	P GO:0006561 proline biosynthetic process
LOC126276148	delta-1-pyrroline-5-carboxylate synthase	F GO:0016301 kinase activity
LOC126276214	spermine oxidase	F GO:0016491 oxidoreductase activity
LOC126276302	mitochondrial proton/calcium exchanger protein	F GO:0005509 calcium ion binding
LOC126276302	mitochondrial proton/calcium exchanger protein	F GO:0043022 ribosome binding
LOC126310110	serine protease inhibitor dipetalogastin-like	F GO:0005515 protein binding
LOC126276364	sodium leak channel non-selective protein	C GO:0016020 membrane
LOC126276364	sodium leak channel non-selective protein	F GO:0005216 monoatomic ion channel activity
LOC126276364	sodium leak channel non-selective protein	P GO:0006811 monoatomic ion transport
LOC126276364	sodium leak channel non-selective protein	P GO:0055085 transmembrane transport
LOC126276397	ras-related C3 botulinum toxin substrate 1	F GO:0003924 GTPase activity
LOC126276397	ras-related C3 botulinum toxin substrate 1	F GO:0005525 GTP binding
LOC126276465	heterogeneous nuclear ribonucleoprotein F-like isoform X1	F GO:0003723 RNA binding
LOC126276533	catalase	F GO:0004096 catalase activity
LOC126276533	catalase	F GO:0020037 heme binding
LOC126276533	catalase	P GO:0006979 response to oxidative stress
LOC126276533	catalase	P GO:0042744 hydrogen peroxide catabolic process
LOC126282331	mitochondrial import receptor subunit TOM40 homolog 1-like	P GO:0030150 protein import into mitochondrial matrix
LOC126282331	mitochondrial import receptor subunit TOM40 homolog 1-like	F GO:0008320 protein transmembrane transporter activity
LOC126282331	mitochondrial import receptor subunit TOM40 homolog 1-like	C GO:0005741 mitochondrial outer membrane
LOC126276587	protein transport protein sec23a	C GO:0030127 COPII vesicle coat
LOC126276587	protein transport protein sec23a	P GO:0090114 COPII-coated vesicle budding
LOC126276633	calcineurin B homologous protein 1	F GO:0005509 calcium ion binding
LOC126276649	lutropin-choriogonadotropic hormone receptor	C GO:0005886 plasma membrane
LOC126276649	lutropin-choriogonadotropic hormone receptor	F GO:0004930 G protein-coupled receptor activity
LOC126276649	lutropin-choriogonadotropic hormone receptor	F GO:0016500 protein-hormone receptor activity
LOC126276649	lutropin-choriogonadotropic hormone receptor	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126276695	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC126276727	regulator of G-protein signaling loco isoform X1	F GO:0005515 protein binding
LOC126276727	regulator of G-protein signaling loco isoform X1	P GO:0007165 signal transduction
LOC126276804	protein krasavietz	F GO:0005515 protein binding
LOC126276856	AP-4 complex subunit epsilon-1-like isoform X2	C GO:0030117 membrane coat
LOC126276856	AP-4 complex subunit epsilon-1-like isoform X2	P GO:0006886 intracellular protein transport
LOC126276856	AP-4 complex subunit epsilon-1-like isoform X2	P GO:0016192 vesicle-mediated transport
LOC126276919	serine-rich adhesin for platelets-like	F GO:0005515 protein binding
LOC126276935	serine protease inhibitor Kazal-type 1-like	F GO:0005515 protein binding
LOC126276951	uncharacterized protein LOC126276951	F GO:0005515 protein binding
LOC126282679	uncharacterized protein LOC126282679	F GO:0005515 protein binding
LOC126282836	uncharacterized protein LOC126282836	F GO:0005515 protein binding
LOC126310937	uncharacterized protein LOC126310937	F GO:0005515 protein binding
LOC126282995	uncharacterized protein LOC126282995	F GO:0005515 protein binding
LOC126277009	uncharacterized protein LOC126277009	F GO:0005515 protein binding
LOC126277025	Kazal peptide Pr13a-like	F GO:0005515 protein binding
LOC126311099	probable E3 ubiquitin-protein ligase HECTD2	F GO:0004842 ubiquitin-protein transferase activity
LOC126277185	suppressor of fused homolog	F GO:0005515 protein binding
LOC126277063	mannosyl-oligosaccharide glucosidase	P GO:0005975 carbohydrate metabolic process
LOC126277228	major facilitator superfamily domain-containing protein 6	C GO:0016020 membrane
LOC126277284	transferrin	C GO:0005615 extracellular space
LOC126277367	acylpyruvase FAHD1, mitochondrial	F GO:0003824 catalytic activity
LOC126277300	F-box/WD repeat-containing protein 11	F GO:0005515 protein binding
LOC126283151	uncharacterized protein LOC126283151	F GO:0003677 DNA binding
LOC126277399	frequenin-1	F GO:0005509 calcium ion binding
LOC126277513	ankyrin repeat and SOCS box protein 1-like isoform X2	F GO:0046872 metal ion binding
LOC126277580	peptide methionine sulfoxide reductase MsrB-like	F GO:0033743 peptide-methionine (R)-S-oxide reductase activity
LOC126277497	U3 small nucleolar RNA-interacting protein 2	F GO:0005515 protein binding
LOC126277637	deformed epidermal autoregulatory factor 1 isoform X1	F GO:0003677 DNA binding
LOC126277663	serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X2	F GO:0019903 protein phosphatase binding
LOC126277663	serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X2	P GO:0043666 obsolete regulation of phosphoprotein phosphatase activity
LOC126311360	uncharacterized protein LOC126311360 isoform X1	F GO:0030414 peptidase inhibitor activity
LOC126311686	parathyroid hormone/parathyroid hormone-related peptide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC126311686	parathyroid hormone/parathyroid hormone-related peptide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126311686	parathyroid hormone/parathyroid hormone-related peptide receptor-like	C GO:0016020 membrane
LOC126311686	parathyroid hormone/parathyroid hormone-related peptide receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC126277867	parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X2	C GO:0016020 membrane
LOC126277867	parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X2	F GO:0004930 G protein-coupled receptor activity
LOC126277867	parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X2	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126277886	beta-arrestin-1 isoform X2	P GO:0007165 signal transduction
LOC126277900	unnamed protein product	F GO:0003924 GTPase activity
LOC126277900	unnamed protein product	F GO:0005525 GTP binding
LOC126277928	E3 ubiquitin-protein ligase RMND5A	F GO:0005515 protein binding
LOC126277928	E3 ubiquitin-protein ligase RMND5A	F GO:0061630 ubiquitin protein ligase activity
LOC126277916	NEDD8 ultimate buster 1-like	F GO:0005515 protein binding
LOC126284097	DNA (cytosine-5)-methyltransferase 3B-like	F GO:0008168 methyltransferase activity
LOC126278107	calaxin-like isoform X2	F GO:0005509 calcium ion binding
LOC126278120	EF-hand calcium-binding domain-containing protein 1	F GO:0005509 calcium ion binding
LOC126278131	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	P GO:0006120 mitochondrial electron transport, NADH to ubiquinone
LOC126278161	skin secretory protein xP2-like isoform X3	C GO:0016020 membrane
LOC126278244	zinc finger protein 706-like	C GO:0005634 nucleus
LOC126278244	zinc finger protein 706-like	C GO:0005737 cytoplasm
LOC126278249	hypothetical protein BOX15_Mlig013213g1	F GO:0016301 kinase activity
LOC126278285	acireductone dioxygenase	P GO:0019509 L-methionine salvage from methylthioadenosine
LOC126278285	acireductone dioxygenase	F GO:0010309 acireductone dioxygenase [iron(II)-requiring] activity
LOC126278300	GATOR complex protein MIOS isoform X1	F GO:0005515 protein binding
LOC126278328	eukaryotic peptide chain release factor subunit 1-like	F GO:0003747 translation release factor activity
LOC126278328	eukaryotic peptide chain release factor subunit 1-like	P GO:0006415 translational termination
LOC126278355	mediator of RNA polymerase II transcription subunit 4	C GO:0016592 mediator complex
LOC126278355	mediator of RNA polymerase II transcription subunit 4	F GO:0003712 transcription coregulator activity
LOC126278355	mediator of RNA polymerase II transcription subunit 4	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126278414	GTP-binding protein SAR1b	F GO:0003924 GTPase activity
LOC126278414	GTP-binding protein SAR1b	F GO:0005525 GTP binding
LOC126278441	GPN-loop GTPase 1	F GO:0003924 GTPase activity
LOC126278447	S-adenosylmethionine synthetase	F GO:0004478 methionine adenosyltransferase activity
LOC126278447	S-adenosylmethionine synthetase	P GO:0006556 S-adenosylmethionine biosynthetic process
LOC126278482	WD repeat-containing protein 46	F GO:0005515 protein binding
LOC126311851	calcitonin gene-related peptide type 1 receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC126311851	calcitonin gene-related peptide type 1 receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126311851	calcitonin gene-related peptide type 1 receptor-like	C GO:0016020 membrane
LOC126311851	calcitonin gene-related peptide type 1 receptor-like	P GO:0007166 cell surface receptor signaling pathway
LOC126312017	phospholipase B1, membrane-associated-like	F GO:0016788 hydrolase activity, acting on ester bonds
LOC126312183	phospholipase B1, membrane-associated-like	F GO:0016788 hydrolase activity, acting on ester bonds
LOC126278493	phospholipase B1, membrane-associated-like	F GO:0016788 hydrolase activity, acting on ester bonds
LOC126278504	phospholipase B1, membrane-associated-like	F GO:0016788 hydrolase activity, acting on ester bonds
LOC126278510	syringomycin synthetase	F GO:0003824 catalytic activity
LOC126312349	phospholipase B1, membrane-associated-like	F GO:0016788 hydrolase activity, acting on ester bonds
LOC126278525	tyrosine kinase receptor Cad96Ca	C GO:0016020 membrane
LOC126278525	tyrosine kinase receptor Cad96Ca	F GO:0005509 calcium ion binding
LOC126284506	tachykinin-like peptides receptor 86C	C GO:0016020 membrane
LOC126284506	tachykinin-like peptides receptor 86C	F GO:0004930 G protein-coupled receptor activity
LOC126284506	tachykinin-like peptides receptor 86C	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126278539	Geranylgeranyl pyrophosphate synthase	P GO:0008299 isoprenoid biosynthetic process
LOC126278569	prepilin-type N-terminal cleavage/methylation domain-containing protein	C GO:0016020 membrane
LOC126278569	prepilin-type N-terminal cleavage/methylation domain-containing protein	F GO:0061630 ubiquitin protein ligase activity
LOC126278569	prepilin-type N-terminal cleavage/methylation domain-containing protein	P GO:0009966 regulation of signal transduction
LOC126278601	GDNF-inducible zinc finger protein 1-like isoform X1	C GO:0005634 nucleus
LOC126278601	GDNF-inducible zinc finger protein 1-like isoform X1	F GO:0008270 zinc ion binding
LOC126278637	moesin/ezrin/radixin homolog 1-like	F GO:0003779 actin binding
LOC126278658	mitogen-activated protein kinase kinase kinase 4 isoform X1	F GO:0004672 protein kinase activity
LOC126278658	mitogen-activated protein kinase kinase kinase 4 isoform X1	F GO:0005524 ATP binding
LOC126278658	mitogen-activated protein kinase kinase kinase 4 isoform X1	P GO:0006468 protein phosphorylation
LOC126278671	nucleoside diphosphate kinase homolog 5-like	F GO:0004550 nucleoside diphosphate kinase activity
LOC126278671	nucleoside diphosphate kinase homolog 5-like	P GO:0006183 GTP biosynthetic process
LOC126278671	nucleoside diphosphate kinase homolog 5-like	P GO:0006228 UTP biosynthetic process
LOC126278671	nucleoside diphosphate kinase homolog 5-like	P GO:0006241 CTP biosynthetic process
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	C GO:0016020 membrane
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	F GO:0004709 MAP kinase kinase kinase activity
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	F GO:0005524 ATP binding
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	F GO:0046872 metal ion binding
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	P GO:0000165 MAPK cascade
LOC126278688	mitogen-activated protein kinase kinase kinase 15 isoform X1	P GO:0016310 phosphorylation
LOC126278747	muscle-specific protein 20-like	F GO:0005515 protein binding
LOC126278758	muscle-specific protein 20	F GO:0003779 actin binding
LOC126278758	muscle-specific protein 20	P GO:0031032 actomyosin structure organization
LOC126278769	cadherin-86C	C GO:0016020 membrane
LOC126278769	cadherin-86C	F GO:0005509 calcium ion binding
LOC126278769	cadherin-86C	P GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules
LOC126278779	seminal metalloprotease 1-like	P GO:0006508 proteolysis
LOC126278779	seminal metalloprotease 1-like	F GO:0004222 metalloendopeptidase activity
LOC126278786	uncharacterized protein LOC126278786	P GO:0007165 signal transduction
LOC126284714	polycystin-2-like	C GO:0016020 membrane
LOC126284714	polycystin-2-like	F GO:0005509 calcium ion binding
LOC126278847	ubiquitin-conjugating enzyme E2-17 kDa	F GO:0005524 ATP binding
LOC126278847	ubiquitin-conjugating enzyme E2-17 kDa	F GO:0016740 transferase activity
LOC126278836	progestin and adipoQ receptor family member 3-like	C GO:0016020 membrane
LOC126278867	cytochrome P450 4c3	F GO:0004497 monooxygenase activity
LOC126278867	cytochrome P450 4c3	F GO:0005506 iron ion binding
LOC126278867	cytochrome P450 4c3	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC126278867	cytochrome P450 4c3	F GO:0020037 heme binding
LOC126278875	prosaposin	C GO:0005764 lysosome
LOC126278875	prosaposin	P GO:0006665 sphingolipid metabolic process
LOC126278936	somatostatin receptor type 2-like	C GO:0016020 membrane
LOC126278936	somatostatin receptor type 2-like	F GO:0004930 G protein-coupled receptor activity
LOC126278936	somatostatin receptor type 2-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126284933	glucose dehydrogenase [FAD, quinone]-like	F GO:0016614 oxidoreductase activity, acting on CH-OH group of donors
