Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124776873	ATP-dependent RNA helicase DDX54	F GO:0003724 RNA helicase activity
LOC124775060	NFX1-type zinc finger-containing protein 1-like	F GO:0004386 helicase activity
LOC124777816	NFX1-type zinc finger-containing protein 1-like	F GO:0004386 helicase activity
LOC124775938	NFX1-type zinc finger-containing protein 1-like	F GO:0004386 helicase activity
LOC124775939	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like	F GO:0008375 acetylglucosaminyltransferase activity
LOC124775939	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like	P GO:0006486 protein glycosylation
LOC124775943	paired mesoderm homeobox protein 2B-like	F GO:0003677 DNA binding
LOC124776232	chromosome transmission fidelity protein 18 homolog isoform X1	F GO:0005524 ATP binding
LOC124776232	chromosome transmission fidelity protein 18 homolog isoform X1	F GO:0016887 ATP hydrolysis activity
LOC124777622	lysozyme-like	F GO:0003796 lysozyme activity
LOC124775944	bone morphogenetic protein 8A-like	F GO:0008083 growth factor activity
LOC124775945	uncharacterized protein LOC124775945	C GO:0016020 membrane
LOC124775945	uncharacterized protein LOC124775945	P GO:0050909 sensory perception of taste
LOC124777233	ubiquinone biosynthesis O-methyltransferase, mitochondrial	F GO:0008425 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
LOC124777233	ubiquinone biosynthesis O-methyltransferase, mitochondrial	F GO:0008757 S-adenosylmethionine-dependent methyltransferase activity
LOC124777233	ubiquinone biosynthesis O-methyltransferase, mitochondrial	P GO:0006744 ubiquinone biosynthetic process
LOC124776279	long-chain-fatty-acid--CoA ligase 1	F GO:0004467 long-chain fatty acid-CoA ligase activity
LOC124776279	long-chain-fatty-acid--CoA ligase 1	P GO:0006631 fatty acid metabolic process
LOC124776923	vesicle transport through interaction with t-SNAREs homolog 1A	C GO:0005794 Golgi apparatus
LOC124776923	vesicle transport through interaction with t-SNAREs homolog 1A	C GO:0016020 membrane
LOC124776923	vesicle transport through interaction with t-SNAREs homolog 1A	F GO:0005484 SNAP receptor activity
LOC124776923	vesicle transport through interaction with t-SNAREs homolog 1A	P GO:0006886 intracellular protein transport
LOC124776923	vesicle transport through interaction with t-SNAREs homolog 1A	P GO:0016192 vesicle-mediated transport
LOC124776887	60S ribosomal protein L34-like	C GO:0005840 ribosome
LOC124776887	60S ribosomal protein L34-like	F GO:0003735 structural constituent of ribosome
LOC124776887	60S ribosomal protein L34-like	P GO:0006412 translation
LOC124777311	bone morphogenetic protein receptor type-1B	F GO:0005524 ATP binding
LOC124777311	bone morphogenetic protein receptor type-1B	C GO:0016020 membrane
LOC124777311	bone morphogenetic protein receptor type-1B	P GO:0006468 protein phosphorylation
LOC124777311	bone morphogenetic protein receptor type-1B	F GO:0004675 transmembrane receptor protein serine/threonine kinase activity
LOC124775015	division abnormally delayed protein-like	C GO:0005886 plasma membrane
LOC124775015	division abnormally delayed protein-like	C GO:0062023 collagen-containing extracellular matrix
LOC124775015	division abnormally delayed protein-like	P GO:0009966 regulation of signal transduction
LOC124776261	DNA replication licensing factor Mcm7	C GO:0042555 MCM complex
LOC124776261	DNA replication licensing factor Mcm7	F GO:0003677 DNA binding
LOC124776261	DNA replication licensing factor Mcm7	F GO:0003678 DNA helicase activity
LOC124776261	DNA replication licensing factor Mcm7	F GO:0005524 ATP binding
LOC124776261	DNA replication licensing factor Mcm7	P GO:0006270 DNA replication initiation
LOC124776261	DNA replication licensing factor Mcm7	P GO:0032508 DNA duplex unwinding
LOC124775034	protein tramtrack, beta isoform-like isoform X1	F GO:0005515 protein binding
LOC124776809	uncharacterized protein LOC124776809	F GO:0003796 lysozyme activity
LOC124775953	uncharacterized protein LOC124775953	C GO:0016020 membrane
LOC124775953	uncharacterized protein LOC124775953	P GO:0050909 sensory perception of taste
LOC124775956	uncharacterized protein LOC124775956	C GO:0016020 membrane
LOC124775956	uncharacterized protein LOC124775956	P GO:0050909 sensory perception of taste
LOC124775957	gustatory receptor for sugar taste 43a-like	C GO:0016020 membrane
LOC124775957	gustatory receptor for sugar taste 43a-like	P GO:0050909 sensory perception of taste
LOC124775959	uncharacterized protein LOC124775959	F GO:0004930 G protein-coupled receptor activity
LOC124775959	uncharacterized protein LOC124775959	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124775959	uncharacterized protein LOC124775959	C GO:0016020 membrane
LOC124775959	uncharacterized protein LOC124775959	P GO:0007166 cell surface receptor signaling pathway
LOC124775960	uncharacterized protein LOC124775960	C GO:0016020 membrane
LOC124775960	uncharacterized protein LOC124775960	P GO:0050909 sensory perception of taste
LOC124775961	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124775961	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124775965	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124775965	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124775499	Ig-like and fibronectin type-III domain-containing protein 1	F GO:0005515 protein binding
LOC124777187	Down syndrome cell adhesion molecule-like protein 1 homolog	F GO:0005515 protein binding
LOC124775970	Down syndrome cell adhesion molecule-like protein Dscam2	F GO:0005515 protein binding
LOC124777172	solute carrier family 22 member 7-like	C GO:0016020 membrane
LOC124777172	solute carrier family 22 member 7-like	F GO:0022857 transmembrane transporter activity
LOC124777172	solute carrier family 22 member 7-like	P GO:0055085 transmembrane transport
LOC124775833	caspase-1-like isoform X1	F GO:0016787 hydrolase activity
LOC124774988	transmembrane 9 superfamily member 3	C GO:0016020 membrane
LOC124775558	glutathione S-transferase-like	F GO:0004364 glutathione transferase activity
LOC124776512	glutathione S-transferase-like	F GO:0004364 glutathione transferase activity
LOC124777505	caspase-1-like isoform X1	P GO:0006508 proteolysis
LOC124777505	caspase-1-like isoform X1	F GO:0004197 cysteine-type endopeptidase activity
LOC124776710	uncharacterized protein Dyak_GE15961	F GO:0016787 hydrolase activity
LOC124775976	organic cation transporter protein-like	C GO:0016020 membrane
LOC124775976	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC124775976	organic cation transporter protein-like	P GO:0055085 transmembrane transport
LOC124775977	high-affinity choline transporter 1-like	C GO:0016020 membrane
LOC124775977	high-affinity choline transporter 1-like	F GO:0022857 transmembrane transporter activity
LOC124775977	high-affinity choline transporter 1-like	P GO:0055085 transmembrane transport
LOC124777545	component of gems protein 1-like	F GO:0046983 protein dimerization activity
LOC124777125	invertebrate-type lysozyme 6-like	F GO:0003796 lysozyme activity
LOC124777905	uncharacterized protein LOC124777905	F GO:0022857 transmembrane transporter activity
LOC124777905	uncharacterized protein LOC124777905	P GO:0055085 transmembrane transport
LOC124772664	triokinase/FMN cyclase-like isoform X1	F GO:0004371 glycerone kinase activity
LOC124772664	triokinase/FMN cyclase-like isoform X1	P GO:0006071 glycerol metabolic process
LOC124772690	transcription initiation factor TFIID subunit 3-like	F GO:0046982 protein heterodimerization activity
LOC124775055	solute carrier family 17 member 9	F GO:0022857 transmembrane transporter activity
LOC124775055	solute carrier family 17 member 9	P GO:0055085 transmembrane transport
LOC124777557	elongator complex protein 3	F GO:0005488 binding
LOC124776847	kinetochore protein NDC80 homolog	C GO:0031262 Ndc80 complex
LOC124776847	kinetochore protein NDC80 homolog	P GO:0051315 attachment of mitotic spindle microtubules to kinetochore
LOC124777331	tubulin glycylase 3A-like	P GO:0036211 protein modification process
LOC124775831	serine/threonine-protein kinase 26-like	F GO:0004672 protein kinase activity
LOC124775831	serine/threonine-protein kinase 26-like	F GO:0005524 ATP binding
LOC124775831	serine/threonine-protein kinase 26-like	P GO:0006468 protein phosphorylation
LOC124775978	protein Wnt-6-like	C GO:0005576 extracellular region
LOC124775978	protein Wnt-6-like	F GO:0005102 signaling receptor binding
LOC124775978	protein Wnt-6-like	P GO:0007275 multicellular organism development
LOC124775978	protein Wnt-6-like	P GO:0016055 Wnt signaling pathway
LOC124777572	protein Wnt-1-like	C GO:0005576 extracellular region
LOC124777572	protein Wnt-1-like	F GO:0005102 signaling receptor binding
LOC124777572	protein Wnt-1-like	P GO:0007275 multicellular organism development
LOC124777572	protein Wnt-1-like	P GO:0016055 Wnt signaling pathway
LOC124776577	protein Wnt-6	C GO:0005576 extracellular region
LOC124776577	protein Wnt-6	F GO:0005102 signaling receptor binding
LOC124776577	protein Wnt-6	P GO:0007275 multicellular organism development
LOC124776577	protein Wnt-6	P GO:0016055 Wnt signaling pathway
LOC124775979	protein Wnt-10b-like	C GO:0005576 extracellular region
LOC124775979	protein Wnt-10b-like	F GO:0005102 signaling receptor binding
LOC124775979	protein Wnt-10b-like	P GO:0007275 multicellular organism development
LOC124775979	protein Wnt-10b-like	P GO:0016055 Wnt signaling pathway
LOC124776478	neither inactivation nor afterpotential protein C isoform X1	C GO:0016459 myosin complex
LOC124776478	neither inactivation nor afterpotential protein C isoform X1	F GO:0003774 cytoskeletal motor activity
LOC124776478	neither inactivation nor afterpotential protein C isoform X1	F GO:0005524 ATP binding
LOC124777102	ring canal kelch homolog isoform X1	F GO:0005515 protein binding
LOC124777345	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like	F GO:0005515 protein binding
LOC124777345	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like	P GO:0007165 signal transduction
LOC124777345	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like	F GO:0004114 3',5'-cyclic-nucleotide phosphodiesterase activity
LOC124775981	probable G-protein coupled receptor CG31760	C GO:0016020 membrane
LOC124775981	probable G-protein coupled receptor CG31760	F GO:0004930 G protein-coupled receptor activity
LOC124775981	probable G-protein coupled receptor CG31760	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124775982	odorant receptor Or2-like	C GO:0016020 membrane
LOC124775982	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC124775982	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC124775982	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC124775983	gustatory receptor 68a-like	C GO:0016020 membrane
LOC124775983	gustatory receptor 68a-like	P GO:0050909 sensory perception of taste
LOC124775984	putative gustatory receptor 39b	C GO:0016020 membrane
LOC124775984	putative gustatory receptor 39b	P GO:0050909 sensory perception of taste
LOC124775986	uncharacterized protein LOC124775986	C GO:0016020 membrane
LOC124775986	uncharacterized protein LOC124775986	P GO:0050909 sensory perception of taste
LOC124775987	gustatory receptor 68a-like	C GO:0016020 membrane
LOC124775987	gustatory receptor 68a-like	P GO:0050909 sensory perception of taste
LOC124775988	uncharacterized protein LOC124775988	C GO:0016020 membrane
LOC124775988	uncharacterized protein LOC124775988	P GO:0050909 sensory perception of taste
LOC124775989	sodium-coupled monocarboxylate transporter 1-like	C GO:0016020 membrane
LOC124775989	sodium-coupled monocarboxylate transporter 1-like	F GO:0022857 transmembrane transporter activity
LOC124775989	sodium-coupled monocarboxylate transporter 1-like	P GO:0055085 transmembrane transport
LOC124775990	uncharacterized protein LOC124775990	C GO:0016020 membrane
LOC124775990	uncharacterized protein LOC124775990	P GO:0050909 sensory perception of taste
LOC124775992	uncharacterized protein LOC124775992	C GO:0016020 membrane
LOC124775992	uncharacterized protein LOC124775992	P GO:0050909 sensory perception of taste
LOC124775995	N-acetylglucosamine-6-sulfatase-like	F GO:0008449 N-acetylglucosamine-6-sulfatase activity
LOC124775995	N-acetylglucosamine-6-sulfatase-like	P GO:0030203 glycosaminoglycan metabolic process
LOC124777906	Stress-activated protein kinase JNK	F GO:0005524 ATP binding
LOC124777906	Stress-activated protein kinase JNK	F GO:0004707 MAP kinase activity
LOC124777906	Stress-activated protein kinase JNK	P GO:0006468 protein phosphorylation
LOC124775999	LOW QUALITY PROTEIN: protein bicaudal C homolog 1-A	F GO:0003723 RNA binding
LOC124777729	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776207	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776727	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776001	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124777062	UDP-glycosyltransferase UGT5-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776002	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776003	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776647	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776648	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776004	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776005	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776006	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776249	UDP-glucosyltransferase 2-like	F GO:0008194 UDP-glycosyltransferase activity
LOC124776949	barrier-to-autointegration factor	F GO:0003677 DNA binding
LOC124776737	immunoglobulin-binding protein 1	P GO:0009966 regulation of signal transduction
LOC124772716	rho GTPase-activating protein conundrum	P GO:0007165 signal transduction
LOC124772732	unnamed protein product	C GO:0016020 membrane
LOC124772732	unnamed protein product	F GO:0008324 monoatomic cation transmembrane transporter activity
LOC124772732	unnamed protein product	P GO:0006812 monoatomic cation transport
LOC124772732	unnamed protein product	P GO:0055085 transmembrane transport
LOC124776712	COP9 signalosome complex subunit 6	F GO:0005515 protein binding
LOC124776712	COP9 signalosome complex subunit 6	P GO:0000338 protein deneddylation
LOC124776712	COP9 signalosome complex subunit 6	C GO:0008180 COP9 signalosome
LOC124776712	COP9 signalosome complex subunit 6	F GO:0008237 metallopeptidase activity
LOC124776443	phosphatidate cytidylyltransferase, mitochondrial	F GO:0004605 phosphatidate cytidylyltransferase activity
LOC124776443	phosphatidate cytidylyltransferase, mitochondrial	P GO:0032049 cardiolipin biosynthetic process
LOC124777768	diacylglycerol kinase eta	F GO:0005515 protein binding
LOC124777768	diacylglycerol kinase eta	F GO:0004143 ATP-dependent diacylglycerol kinase activity
LOC124777768	diacylglycerol kinase eta	P GO:0007205 obsolete protein kinase C-activating G protein-coupled receptor signaling pathway
LOC124777069	non-symbiotic hemoglobin 1-like	F GO:0019825 oxygen binding
LOC124777069	non-symbiotic hemoglobin 1-like	F GO:0020037 heme binding
LOC124776310	globin-1	F GO:0019825 oxygen binding
LOC124776310	globin-1	F GO:0020037 heme binding
LOC124774922	zinc finger protein 2	C GO:0005634 nucleus
LOC124774922	zinc finger protein 2	F GO:0008270 zinc ion binding
LOC124776008	nuclear receptor subfamily 2 group E member 1	F GO:0003700 DNA-binding transcription factor activity
LOC124776008	nuclear receptor subfamily 2 group E member 1	F GO:0008270 zinc ion binding
LOC124776008	nuclear receptor subfamily 2 group E member 1	F GO:0043565 sequence-specific DNA binding
LOC124776008	nuclear receptor subfamily 2 group E member 1	P GO:0006355 regulation of DNA-templated transcription
LOC124776010	uncharacterized transporter slc-17.2-like	F GO:0022857 transmembrane transporter activity
LOC124776010	uncharacterized transporter slc-17.2-like	P GO:0055085 transmembrane transport
LOC124776877	zinc finger protein 479-like	C GO:0005634 nucleus
LOC124776877	zinc finger protein 479-like	F GO:0008270 zinc ion binding
LOC124776389	PREDICTED: pre-mRNA-processing factor 17 isoform X1	F GO:0005515 protein binding
LOC124777117	transmembrane protein 181 isoform X2	C GO:0016020 membrane
LOC124777117	transmembrane protein 181 isoform X2	F GO:0015643 toxic substance binding
LOC124772611	disks large 1 tumor suppressor protein isoform X19	F GO:0005515 protein binding
LOC124776019	metalloendopeptidase OMA1, mitochondrial-like	F GO:0004222 metalloendopeptidase activity
LOC124776019	metalloendopeptidase OMA1, mitochondrial-like	P GO:0006508 proteolysis
LOC124777752	rho guanine nucleotide exchange factor 4	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC124777752	rho guanine nucleotide exchange factor 4	F GO:0005515 protein binding
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	C GO:0005634 nucleus
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	C GO:0005732 sno(s)RNA-containing ribonucleoprotein complex
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	F GO:0003723 RNA binding
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	P GO:0000493 box H/ACA snoRNP assembly
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	P GO:0001522 pseudouridine synthesis
LOC124777288	H/ACA ribonucleoprotein complex non-core subunit NAF1	P GO:0006364 rRNA processing
LOC124775095	uncharacterized protein LOC124593764	P GO:0030431 sleep
LOC124775095	uncharacterized protein LOC124593764	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124775095	uncharacterized protein LOC124593764	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776879	protein quiver	P GO:0030431 sleep
LOC124776879	protein quiver	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776879	protein quiver	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776022	uncharacterized protein LOC124776022	F GO:0005515 protein binding
LOC124777245	uncharacterized protein LOC124596130	P GO:0030431 sleep
LOC124777245	uncharacterized protein LOC124596130	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124777245	uncharacterized protein LOC124596130	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776935	uncharacterized protein LOC124776935	P GO:0030431 sleep
LOC124776935	uncharacterized protein LOC124776935	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776935	uncharacterized protein LOC124776935	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776851	uncharacterized protein LOC124596132	P GO:0030431 sleep
LOC124776851	uncharacterized protein LOC124596132	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776851	uncharacterized protein LOC124596132	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776546	uncharacterized protein LOC124776546	P GO:0030431 sleep
LOC124776546	uncharacterized protein LOC124776546	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776546	uncharacterized protein LOC124776546	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124777064	uncharacterized protein LOC124777064	P GO:0030431 sleep
LOC124777064	uncharacterized protein LOC124777064	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124777064	uncharacterized protein LOC124777064	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124777021	protein quiver-like	P GO:0030431 sleep
LOC124777021	protein quiver-like	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124777021	protein quiver-like	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776584	uncharacterized protein LOC124776584	P GO:0030431 sleep
LOC124776584	uncharacterized protein LOC124776584	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776584	uncharacterized protein LOC124776584	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776859	uncharacterized protein LOC124776859	P GO:0030431 sleep
LOC124776859	uncharacterized protein LOC124776859	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776859	uncharacterized protein LOC124776859	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776024	uncharacterized protein LOC124776024	P GO:0030431 sleep
LOC124776024	uncharacterized protein LOC124776024	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776024	uncharacterized protein LOC124776024	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776025	uncharacterized protein LOC124776025	P GO:0030431 sleep
LOC124776025	uncharacterized protein LOC124776025	P GO:0032222 regulation of synaptic transmission, cholinergic
LOC124776025	uncharacterized protein LOC124776025	P GO:1903818 positive regulation of voltage-gated potassium channel activity
LOC124776242	outer mitochondrial transmembrane helix translocase	F GO:0005524 ATP binding
LOC124776242	outer mitochondrial transmembrane helix translocase	F GO:0016887 ATP hydrolysis activity
LOC124774883	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like isoform X3	P GO:0016311 dephosphorylation
LOC124776033	IQ and ubiquitin-like domain-containing protein	F GO:0005515 protein binding
LOC124777048	AN1-type zinc finger protein 4-like isoform X1	F GO:0005515 protein binding
LOC124776413	mitochondrial uncoupling protein Bmcp	P GO:0055085 transmembrane transport
LOC124776412	calpain-5-like	F GO:0004198 calcium-dependent cysteine-type endopeptidase activity
LOC124776412	calpain-5-like	P GO:0006508 proteolysis
LOC124777093	serine/threonine-protein kinase mig-15	F GO:0004672 protein kinase activity
LOC124777093	serine/threonine-protein kinase mig-15	F GO:0005524 ATP binding
LOC124777093	serine/threonine-protein kinase mig-15	P GO:0006468 protein phosphorylation
LOC124776034	division abnormally delayed protein-like	C GO:0005886 plasma membrane
LOC124776034	division abnormally delayed protein-like	C GO:0062023 collagen-containing extracellular matrix
LOC124776034	division abnormally delayed protein-like	P GO:0009966 regulation of signal transduction
LOC124775022	RNA-binding protein lark isoform X1	F GO:0003723 RNA binding
LOC124776527	probable ATP-dependent RNA helicase DDX46	F GO:0003676 nucleic acid binding
LOC124776527	probable ATP-dependent RNA helicase DDX46	F GO:0003724 RNA helicase activity
LOC124776527	probable ATP-dependent RNA helicase DDX46	F GO:0005524 ATP binding
LOC124774879	troponin C isoform X1	F GO:0005509 calcium ion binding
LOC124776039	alpha-1D adrenergic receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124776039	alpha-1D adrenergic receptor-like	C GO:0016020 membrane
LOC124776039	alpha-1D adrenergic receptor-like	F GO:0001607 neuromedin U receptor activity
LOC124776265	prolyl 4-hydroxylase subunit alpha-2	C GO:0016020 membrane
LOC124777182	protein transport protein SFT2	P GO:0016192 vesicle-mediated transport
LOC124776043	uncharacterized protein LOC124776043	F GO:0004930 G protein-coupled receptor activity
LOC124776043	uncharacterized protein LOC124776043	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124776043	uncharacterized protein LOC124776043	C GO:0016020 membrane
LOC124776043	uncharacterized protein LOC124776043	P GO:0007166 cell surface receptor signaling pathway
LOC124776748	ankyrin-1-like	F GO:0005515 protein binding
LOC124776746	LOW QUALITY PROTEIN: dynein axonemal heavy chain 7-like	C GO:0030286 dynein complex
LOC124776746	LOW QUALITY PROTEIN: dynein axonemal heavy chain 7-like	F GO:0005524 ATP binding
LOC124776746	LOW QUALITY PROTEIN: dynein axonemal heavy chain 7-like	F GO:0008569 minus-end-directed microtubule motor activity
LOC124776746	LOW QUALITY PROTEIN: dynein axonemal heavy chain 7-like	P GO:0007018 microtubule-based movement
LOC124776606	mothers against decapentaplegic homolog 3-like	F GO:0005515 protein binding
LOC124776606	mothers against decapentaplegic homolog 3-like	P GO:0006355 regulation of DNA-templated transcription
LOC124776931	cilia- and flagella-associated protein 298-A	P GO:0003352 regulation of cilium movement
LOC124776049	uncharacterized protein LOC124776049	P GO:0061098 positive regulation of protein tyrosine kinase activity
LOC124775476	LOW QUALITY PROTEIN: methylosome protein 50-like	F GO:0005515 protein binding
LOC124776052	uncharacterized protein LOC124776052	P GO:0061098 positive regulation of protein tyrosine kinase activity
LOC124776055	jerky protein homolog-like	F GO:0003676 nucleic acid binding
LOC124777989	protein transport protein Sec31A isoform X1	F GO:0005515 protein binding
LOC124777038	protein aveugle	F GO:0005515 protein binding
LOC124777099	SET domain-containing protein SmydA-8-like	F GO:0005515 protein binding
LOC124777040	RNA-binding protein pno1	F GO:0003723 RNA binding
LOC124777686	mast cell tryptase-like	F GO:0004252 serine-type endopeptidase activity
LOC124777686	mast cell tryptase-like	P GO:0006508 proteolysis
LOC124777998	histone acetyltransferase KAT6B	C GO:0000786 nucleosome
LOC124777998	histone acetyltransferase KAT6B	F GO:0003677 DNA binding
LOC124777998	histone acetyltransferase KAT6B	F GO:0004402 histone acetyltransferase activity
LOC124777998	histone acetyltransferase KAT6B	P GO:0006334 nucleosome assembly
LOC124777998	histone acetyltransferase KAT6B	P GO:0006355 regulation of DNA-templated transcription
LOC124774870	adenosine kinase isoform X2	C GO:0005634 nucleus
LOC124774870	adenosine kinase isoform X2	F GO:0004001 adenosine kinase activity
LOC124774870	adenosine kinase isoform X2	F GO:0005524 ATP binding
LOC124774870	adenosine kinase isoform X2	P GO:0006166 purine ribonucleoside salvage
LOC124774870	adenosine kinase isoform X2	P GO:0016310 phosphorylation
LOC124774870	adenosine kinase isoform X2	P GO:0044209 AMP salvage
LOC124776060	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776060	trypsin-1-like	P GO:0006508 proteolysis
LOC124776061	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776061	trypsin-1-like	P GO:0006508 proteolysis
LOC124776062	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776062	trypsin-1-like	P GO:0006508 proteolysis
LOC124776063	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776063	trypsin-1-like	P GO:0006508 proteolysis
LOC124776065	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776065	trypsin-1-like	P GO:0006508 proteolysis
LOC124776068	trypsin-7-like	F GO:0004252 serine-type endopeptidase activity
LOC124776068	trypsin-7-like	P GO:0006508 proteolysis
LOC124776069	chymotrypsin-like elastase family member 1	F GO:0004252 serine-type endopeptidase activity
LOC124776069	chymotrypsin-like elastase family member 1	P GO:0006508 proteolysis
LOC124776070	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776070	trypsin-1-like	P GO:0006508 proteolysis
LOC124776071	mite allergen Eur m 3-like	F GO:0004252 serine-type endopeptidase activity
LOC124776071	mite allergen Eur m 3-like	P GO:0006508 proteolysis
LOC124776072	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776072	trypsin-1-like	P GO:0006508 proteolysis
LOC124776073	trypsin-7-like	F GO:0004252 serine-type endopeptidase activity
LOC124776073	trypsin-7-like	P GO:0006508 proteolysis
LOC124776074	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776074	trypsin-1-like	P GO:0006508 proteolysis
LOC124776076	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124776076	trypsin-1-like	P GO:0006508 proteolysis
LOC124776077	chymotrypsin-like elastase family member 1	F GO:0004252 serine-type endopeptidase activity
LOC124776077	chymotrypsin-like elastase family member 1	P GO:0006508 proteolysis
LOC124776078	bromodomain-containing protein DDB_G0280777	C GO:0016533 protein kinase 5 complex
LOC124776078	bromodomain-containing protein DDB_G0280777	F GO:0061575 cyclin-dependent protein serine/threonine kinase activator activity
LOC124776081	Down syndrome cell adhesion molecule-like protein Dscam2	F GO:0005515 protein binding
LOC124776082	synaptotagmin-15-like	C GO:0016020 membrane
LOC124777744	hemocyanin-like	C GO:0005576 extracellular region
LOC124777744	hemocyanin-like	F GO:0004497 monooxygenase activity
LOC124777916	hemocyanin A chain-like	C GO:0005576 extracellular region
LOC124777916	hemocyanin A chain-like	F GO:0004497 monooxygenase activity
LOC124776618	group XIIA secretory phospholipase A2	C GO:0005576 extracellular region
LOC124776618	group XIIA secretory phospholipase A2	F GO:0004623 phospholipase A2 activity
LOC124776618	group XIIA secretory phospholipase A2	F GO:0005509 calcium ion binding
LOC124776618	group XIIA secretory phospholipase A2	P GO:0006644 phospholipid metabolic process
LOC124776618	group XIIA secretory phospholipase A2	P GO:0016042 lipid catabolic process
LOC124776618	group XIIA secretory phospholipase A2	P GO:0050482 arachidonate secretion
LOC124776326	LOW QUALITY PROTEIN: V-type proton ATPase subunit H	C GO:0000221 vacuolar proton-transporting V-type ATPase, V1 domain
LOC124776326	LOW QUALITY PROTEIN: V-type proton ATPase subunit H	F GO:0046961 proton-transporting ATPase activity, rotational mechanism
