"gene_id","Preferred_name","Description","PFAMs","theme","term_group","matched_pattern"
"LOC126355729","-","Membrane dipeptidase (Peptidase family M19)","Peptidase_M19","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267124","-","Trypsin-like serine protease","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268224","-","Trypsin-like serine protease","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268223","-","Trypsin-like serine protease","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266990","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266743","-","activity. It is involved in the biological process described with ubiquitin-dependent protein catabolic process","Peptidase_C12","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267523","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267978","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267981","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267982","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267984","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267189","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267655","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266899","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365973","-","Belongs to the peptidase S10 family","Peptidase_S10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268055","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268054","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268057","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268058","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267673","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268059","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268060","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268061","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267690","CLIPD2","Domain of unknown function (DUF1986)","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267482","-","ATP-dependent Clp protease proteolytic subunit","CLP_protease","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267691","-","Metallo-peptidase family M12B Reprolysin-like","Pep_M12B_propep,Reprolysin,Reprolysin_2,Reprolysin_5","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266705","-","Zn_pept","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267841","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267842","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267212","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267513","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266707","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267056","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267057","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365777","-","zinc ion binding. It is involved in the biological process described with proteolysis","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266853","-","Kazal type serine protease inhibitors","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267504","-","Peptidase family M20/M25/M40","M20_dimer,Peptidase_M20","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266882","-","It is involved in the biological process described with proteolysis","AAA,FtsH_ext,Peptidase_M41","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126366003","-","Belongs to the peptidase C19 family","UCH,Ubiquitin_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126366005","-","Peptidase family M28","Peptidase_M28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266859","-","Caspase domain","Ig_3,Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266860","-","Matrix AAA peptidase interacting protein 1","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266639","-","ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365820","-","serine-type endopeptidase inhibitor activity","Antistasin,Kunitz_BPTI,Lustrin_cystein,Thyroglobulin_1,WAP","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267781","-","Peptidase family M13","Peptidase_M13,Peptidase_M13_N","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267782","-","metalloendopeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M13,Peptidase_M13_N","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266626","amon","Belongs to the peptidase S8 family","P_proprotein,Peptidase_S8,S8_pro-domain","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268107","-","Belongs to the peptidase C2 family","Calpain_III,Peptidase_C2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267021","-","Serine carboxypeptidase S28","Peptidase_S28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267022","-","Serine carboxypeptidase S28","Peptidase_S28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268049","-","activity. It is involved in the biological process described with","Peptidase_C13","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267519","-","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Cystatin,Inhibitor_I29,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267478","-","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Cystatin,Inhibitor_I29,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267479","-","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Cystatin,Inhibitor_I29,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267477","-","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Cystatin,Inhibitor_I29,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267069","-","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Cystatin,Inhibitor_I29,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365835","-","Belongs to the peptidase M24B family","Creatinase_N,Creatinase_N_2,Peptidase_M24,Peptidase_M24_C","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267391","-","PLAC (protease and lacunin) domain","ADAM_spacer1,I-set,Ig_3,Kunitz_BPTI,PLAC,TSP_1,WAP","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268190","-","caax prenyl protease","Abi","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268204","Uch","Ubiquitin-specific protease activity. It is involved in the biological process described with ubiquitin-dependent protein catabolic process","Peptidase_C12","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266850","-","Peptidase family M1 domain","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267237","-","Leishmanolysin","Peptidase_M8","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267325","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267442","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267545","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266641","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267940","-","Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_C48","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272661","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272786","-","Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family","Peptidase_M19","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272338","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272339","-","It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272391","-","Peptidase family M13","Peptidase_M13,Peptidase_M13_N","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272624","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272864","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272500","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273243","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272474","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272903","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272902","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272904","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273268","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273115","-","Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy","Peptidase_C54","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273372","-","Belongs to the peptidase M1 family","Leuk-A4-hydro_C,Peptidase_M1,Ribosomal_L13","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273001","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126271998","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_S51","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272087","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272513","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272940","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272941","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272942","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272943","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272945","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272946","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273280","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273281","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273282","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272890","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273041","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273042","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273283","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272411","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272647","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273284","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272348","-","Zinc carboxypeptidase","Peptidase_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272576","-","Kazal-type serine protease inhibitor domain","Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273194","-","Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_C48","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272562","-","Transmembrane 9 superfamily member","EMP70,Peptidase_S10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272325","-","metalloendopeptidase activity. It is involved in the biological process described with","Peptidase_M48,Peptidase_M48_N","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126271965","-","Threonine-type endopeptidase activity. It is involved in the biological process described with proteolysis involved in cellular protein catabolic process","Proteasome","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126271964","-","Pyroglutamyl-peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_C15","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272782","-","Aspartic-type endopeptidase activity","Peptidase_A22B","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272142","-","Peptidase family C78","Peptidase_C78","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273145","-","Serine-type peptidase activity. It is involved in the biological process described with","Itfg2,Peptidase_S24","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273360","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272497","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272496","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272495","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273361","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272498","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273362","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273363","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272604","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272605","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273087","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273364","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272737","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273455","-","May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning","Peptidase_M28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126271870","-","Belongs to the peptidase C19 family","UCH","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272123","-","Dipeptidyl peptidase IV (DPP IV) N-terminal region","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272877","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_S8","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272182","-","Protein tyrosine phosphatase, catalytic domain","Peptidase_M19,Y_phosphatase","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272702","Dip-C","manganese ion binding","AMP_N,Peptidase_M24","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272698","Dip-C","manganese ion binding","AMP_N,Peptidase_M24","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
