"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126322729",3,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",7.10548070996927,0.0127830857132958,43.998845009003,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126354672",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.6265988629933,0.0242115854584222,38.2425756335144,"unannotated","F-box only protein","GO:0000151,GO:0005575,GO:0005622,GO:0005623,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0019005,GO:0019538,GO:0019941,GO:0030163,GO:0031146,GO:0031461,GO:0032991,GO:0043161,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0051603,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1990234","ko:K10305","ko04068,map04068",NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335222",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",1.82831260933529,0.0260703989283896,38.4121649325562,"unannotated","Folded gastrulation N-terminus",NA,NA,NA,"FOG_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126354365",3,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",1.87058681446338,0.0285980876110215,38.4142498221647,"unannotated","Belongs to the type-B carboxylesterase lipase family",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-1.0346574645006,1.0346574645006,NA,-1.0346574645006,NA,5.31061312686054e-05,"Solitarious-up","Thorax phase DEG only"
"LOC126335709",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",10.8025701957995,5.90713340029138e-38,73.0311934171956,"unannotated","activity. It is involved in the biological process described with oxidation-reduction process",NA,"ko:K00471","ko00310,map00310","DUF971,TauD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126293286",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.36798914893283,1.08644449756491e-17,44.33198160421,"unannotated","Fibrillar collagens C-terminal domain",NA,"ko:K19719","ko04151,ko04510,ko04512,ko04974,ko05165,map04151,map04510,map04512,map04974,map05165","COLFI,Collagen",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126283989",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",5.30975862590795,2.28270200774166e-15,44.9513094051055,"unannotated","Gamma glutamyl transpeptidases",NA,"ko:K18592","ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100","G_glu_transpept",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278485",2,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Infected 33 vs 50","Downregulated",8.45814865778368,5.80199859290269e-13,45.6945710386419,"unannotated","Pyridoxal-dependent decarboxylase, pyridoxal binding domain",NA,"ko:K01581","ko00330,ko00480,ko01100,ko01110,ko01130,map00330,map00480,map01100,map01110,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",2,"Head + Thorax","Solitarious-up",-2.61110903340902,2.76200928087785,-2.46020878594018,-2.76200928087785,0.00303034245446553,0.000138399167360275,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126295191",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.68004900700098,8.90984904165175e-13,38.7301786610935,"unannotated","Speckle-type poz protein","GO:0000151,GO:0000209,GO:0001654,GO:0001736,GO:0001738,GO:0001745,GO:0001932,GO:0001934,GO:0002009,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006508,GO:0006511,GO:0006515,GO:0006807,GO:0006950,GO:0007163,GO:0007164,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007423,GO:0008150,GO:0008152,GO:0008589,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010498,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010941,GO:0010942,GO:0016567,GO:0019005,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019941,GO:0023051,GO:0023056,GO:0023057,GO:0030162,GO:0030163,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031461,GO:0031625,GO:0031647,GO:0031648,GO:0032268,GO:0032270,GO:0032386,GO:0032387,GO:0032446,GO:0032501,GO:0032502,GO:0032872,GO:0032874,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0035282,GO:0035966,GO:0035967,GO:0036211,GO:0042067,GO:0042221,GO:0042306,GO:0042308,GO:0042325,GO:0042327,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043408,GO:0043410,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044424,GO:0044464,GO:0045879,GO:0045937,GO:0046328,GO:0046330,GO:0046822,GO:0046823,GO:0046983,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048729,GO:0048731,GO:0048749,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051171,GO:0051173,GO:0051174,GO:0051223,GO:0051224,GO:0051246,GO:0051247,GO:0051603,GO:0051716,GO:0051788,GO:0051865,GO:0060255,GO:0060341,GO:0060429,GO:0065007,GO:0065008,GO:0070201,GO:0070302,GO:0070304,GO:0070647,GO:0070887,GO:0071218,GO:0071310,GO:0071630,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090317,GO:0090596,GO:1900180,GO:1900181,GO:1901044,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1902531,GO:1902533,GO:1903827,GO:1903828,GO:1904589,GO:1904590,GO:1904950,GO:1990234","ko:K10523","ko04340,ko04341,map04340,map04341","BTB,MATH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126355938",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.9750835500064,1.87334268661361e-12,41.7024663207934,"unannotated","Insect pheromone-binding family, A10/OS-D","GO:0005575,GO:0005576",NA,NA,"OS-D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277955",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.02853293982077,1.07490145976709e-11,37.9971642871421,"unannotated","PDGF/VEGF domain",NA,NA,NA,"PDGF",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126293178",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.21398181329472,1.973947822425e-11,39.9186461445621,"unannotated","Epidermal growth factor-like domain.","GO:0005575,GO:0005576,GO:0006950,GO:0006952,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0042742,GO:0043207,GO:0050896,GO:0051704,GO:0051707,GO:0098542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126293287",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.19433230861592,1.973947822425e-11,38.8989966398833,"unannotated","Epidermal growth factor-like domain.",NA,NA,NA,"C_tripleX",1,"Head","Gregarious-up",1.49662607002608,1.49662607002608,1.49662607002608,NA,9.72893689785806e-32,NA,"Gregarious-up","Head phase DEG only"
"LOC126365759",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.67029626655307,1.62615511431967e-10,39.4591342972015,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126355684",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.52946658726876,2.15428663126111e-10,37.1961631008911,"Orct","Sugar (and other) transporter","GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006915,GO:0008150,GO:0008219,GO:0008509,GO:0008514,GO:0009987,GO:0012501,GO:0015075,GO:0015711,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656","ko:K08202","ko05231,map05231","MFS_1,Sugar_tr",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126361845",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.2681167858568,2.8891546065798e-10,38.807346003103,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126271975",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",7.28776000946932,1.87658203279433e-09,41.0143924555824,"unannotated","Alpha-lactalbumin / lysozyme C","GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542","ko:K13915","ko04970,map04970","Lys",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126285340",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.03847937645392,2.27233143265866e-09,36.6820077004374,"unannotated","ankyrin repeats",NA,"ko:K09258","ko04668,map04668","Ank_2,Ank_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126355055",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.86489531809847,4.63631210647456e-09,36.1987226540603,"unannotated","Noggin",NA,"ko:K04658","ko04350,map04350","Noggin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126297421",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.89635960500441,5.22281557764103e-09,38.178454914229,"unannotated","Carboxylic ester hydrolase activity. It is involved in the biological process described with lipid metabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126355203",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.63154876956289,5.7630122568015e-09,35.870899226321,"unannotated","PDGF/VEGF domain",NA,NA,NA,"PDGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281729",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.34955706372996,8.4829617705381e-09,35.4210095539229,"unannotated","Belongs to the peptidase C14A family",NA,"ko:K04397","ko04210,ko04214,ko04215,ko04668,ko04932,ko05010,ko05133,ko05134,ko05200,map04210,map04214,map04215,map04668,map04932,map05010,map05133,map05134,map05200","Peptidase_C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284305",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",5.86754995008786,1.18536897702118e-08,38.7936963932088,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-1.24118947723811,1.24118947723811,NA,-1.24118947723811,NA,0.0273049713537841,"Solitarious-up","Thorax phase DEG only"
"LOC126334976",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.65513997890127,1.35476764010325e-08,37.5232751643361,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336554",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",7.88234153160479,1.94657151120481e-08,40.5930711685795,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284231",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",3.27942955389039,2.64196219024751e-08,35.8575029558596,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126322901",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.12101938090412,5.83108289270436e-08,35.3552701656556,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126293269",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.28623104674208,6.01401197271119e-08,33.5070667583821,"unannotated","Homeodomain","GO:0000003,GO:0000122,GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000981,GO:0001012,GO:0001067,GO:0001655,GO:0001700,GO:0002376,GO:0002520,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003705,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006928,GO:0006935,GO:0006955,GO:0006959,GO:0007275,GO:0007276,GO:0007280,GO:0007399,GO:0007409,GO:0007411,GO:0007498,GO:0007507,GO:0007516,GO:0007548,GO:0008045,GO:0008150,GO:0008354,GO:0008406,GO:0009605,GO:0009607,GO:0009653,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016477,GO:0017145,GO:0019219,GO:0019222,GO:0019730,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0040011,GO:0042221,GO:0042330,GO:0042386,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0044703,GO:0045137,GO:0045892,GO:0045934,GO:0048103,GO:0048468,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048542,GO:0048608,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048732,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051179,GO:0051252,GO:0051253,GO:0051301,GO:0051674,GO:0051704,GO:0051707,GO:0060255,GO:0061318,GO:0061319,GO:0061321,GO:0061458,GO:0061564,GO:0065007,GO:0071840,GO:0072001,GO:0072359,GO:0080090,GO:0097159,GO:0097485,GO:0120036,GO:0120039,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141","ko:K09299","ko05206,map05206","Homeobox,zf-C2H2,zf-C2H2_6",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278010",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.90961202589914,1.18133253727675e-07,34.8372398600588,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126283383",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.24425401162625,1.19664029465329e-07,33.1662903888089,"unannotated","Converts protoheme IX and farnesyl diphosphate to heme O","GO:0003674,GO:0003824,GO:0004311,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006091,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008535,GO:0009058,GO:0009987,GO:0015980,GO:0016043,GO:0016740,GO:0016765,GO:0017004,GO:0018130,GO:0019438,GO:0022607,GO:0032991,GO:0033013,GO:0033014,GO:0034622,GO:0034641,GO:0042168,GO:0042440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0055114,GO:0065003,GO:0070069,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","ko:K02257","ko00190,ko00860,ko01100,ko01110,ko04714,map00190,map00860,map01100,map01110,map04714","UbiA",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126332162",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.60074329555831,1.27892884517493e-07,35.4938969129307,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126356065",2,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 50; Diet 50: infected vs control","Upregulated",1.85950972604903,1.41210773311091e-07,33.7096418946939,"unannotated","cationic amino acid transporter","GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015291,GO:0015297,GO:0015318,GO:0015711,GO:0015807,GO:0015849,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098656,GO:1902475,GO:1903825,GO:1905039","ko:K03450",NA,"AA_permease_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343303",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.80724143356915,1.6207051828035e-07,35.5975374126295,"unannotated","Domain of unknown function (DUF4728)","GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425",NA,NA,"DUF4728",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282035",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.70598105950108,1.73341954270283e-07,33.4670773709769,"unannotated","Tyrosine kinase, catalytic domain","GO:0000003,GO:0001655,GO:0001667,GO:0001932,GO:0001934,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002164,GO:0002165,GO:0002376,GO:0002520,GO:0002682,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0004714,GO:0004888,GO:0005021,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0006996,GO:0007010,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007417,GO:0007419,GO:0007431,GO:0007435,GO:0007442,GO:0007443,GO:0007444,GO:0007483,GO:0007484,GO:0007485,GO:0007516,GO:0007548,GO:0007552,GO:0007560,GO:0008150,GO:0008152,GO:0008283,GO:0009605,GO:0009607,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010243,GO:0010562,GO:0010604,GO:0010631,GO:0010646,GO:0010647,GO:0010941,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019199,GO:0019220,GO:0019222,GO:0019538,GO:0019730,GO:0019953,GO:0022412,GO:0022414,GO:0022607,GO:0022612,GO:0023051,GO:0023052,GO:0023056,GO:0030029,GO:0030030,GO:0030031,GO:0030036,GO:0030097,GO:0030154,GO:0030539,GO:0030707,GO:0030855,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031929,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032868,GO:0032869,GO:0032870,GO:0035099,GO:0035112,GO:0035126,GO:0035162,GO:0035166,GO:0035167,GO:0035172,GO:0035215,GO:0035239,GO:0035272,GO:0035295,GO:0035556,GO:0035924,GO:0036211,GO:0036335,GO:0038023,GO:0038084,GO:0038202,GO:0040011,GO:0042221,GO:0042325,GO:0042327,GO:0042386,GO:0042592,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043207,GO:0043408,GO:0043410,GO:0043412,GO:0043434,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0044703,GO:0045087,GO:0045595,GO:0045610,GO:0045937,GO:0046661,GO:0048010,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048542,GO:0048546,GO:0048563,GO:0048565,GO:0048568,GO:0048569,GO:0048583,GO:0048584,GO:0048598,GO:0048608,GO:0048609,GO:0048619,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048803,GO:0048805,GO:0048806,GO:0048808,GO:0048856,GO:0048869,GO:0048870,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051246,GO:0051247,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0055123,GO:0060089,GO:0060255,GO:0060429,GO:0060548,GO:0060562,GO:0061326,GO:0061327,GO:0061333,GO:0061458,GO:0061525,GO:0065007,GO:0065008,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071375,GO:0071417,GO:0071495,GO:0071704,GO:0071840,GO:0071944,GO:0072001,GO:0072002,GO:0080090,GO:0090130,GO:0090132,GO:0090598,GO:0140096,GO:1901564,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533","ko:K05096","ko04010,ko04014,ko04015,ko04060,ko04066,ko04151,ko04510,ko05202,ko05323,map04010,map04014,map04015,map04060,map04066,map04151,map04510,map05202,map05323","I-set,Ig_3,Pkinase_Tyr,ig",2,"Head + Thorax","Solitarious-up",-1.6311061052753,2.02158977725896,-1.24062243329165,-2.02158977725896,0.00903806708725935,1.24074655673388e-08,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126353855",2,TRUE,"Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.64551509184154,1.78342522178354e-07,33.3942601875575,"Cpr","Flavodoxin","GO:0003674,GO:0003824,GO:0003958,GO:0006723,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0016491,GO:0016651,GO:0016653,GO:0032501,GO:0032502,GO:0042335,GO:0048856,GO:0055114","ko:K00327",NA,"FAD_binding_1,Flavodoxin_1,NAD_binding_1,Ras",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272722",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.93953591560585,2.29106230462731e-07,33.5794990157714,"unannotated","Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase",NA,"ko:K02154","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05165,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05165,map05323","V_ATPase_I",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278232",2,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.12709030418221,2.49504505909729e-07,33.7300119110402,"unannotated","Sugar proton symporter activity. It is involved in the biological process described with carbohydrate transport","GO:0002225,GO:0002682,GO:0002683,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003674,GO:0005215,GO:0005338,GO:0005459,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005795,GO:0005797,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008592,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009968,GO:0010556,GO:0010557,GO:0010559,GO:0010560,GO:0010604,GO:0010646,GO:0010648,GO:0012505,GO:0015165,GO:0015711,GO:0015780,GO:0015931,GO:0015932,GO:0019222,GO:0022857,GO:0023051,GO:0023057,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031348,GO:0031399,GO:0031401,GO:0031984,GO:0031985,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043900,GO:0043902,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045751,GO:0045824,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050776,GO:0050777,GO:0050778,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0055085,GO:0060049,GO:0060050,GO:0060255,GO:0065007,GO:0071702,GO:0071705,GO:0072334,GO:0080090,GO:0080134,GO:0090481,GO:0098656,GO:0098791,GO:1901264,GO:1901505,GO:1903018,GO:1903020,GO:2000112",NA,NA,"Nuc_sug_transp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
